PWGTP,AGEP,SOCP,WAGP,PUMA,STATE,
26,52,113051,130000,08303,06,
8,60,19204X,200000,08303,06,
9,61,253041,0,08303,06,
13,38,1721YY,210000,08301,06,
11,23,1191XX,50000,11108,06,
71,28,113051,40000,08302,06,
11,63,411011,0,08303,06,
36,54,472211,0,11102,06,
14,42,411011,100000,11108,06,
16,44,514041,26000,08302,06,
6,31,411011,41600,11103,06,
14,30,411011,6500,11103,06,
14,29,411011,6500,11103,06,
8,28,49904X,48000,08303,06,
20,72,414010,0,07901,06,
17,56,411011,30000,11103,06,
18,22,411011,0,11108,06,
10,34,253041,20000,11107,06,
22,67,1191XX,0,07902,06,
22,62,1191XX,45500,11102,06,
10,67,172141,85000,11107,06,
23,37,414010,43800,08303,06,
18,59,113071,141000,11103,06,
21,35,519010,50000,07902,06,
18,73,1721XX,43900,08303,06,
39,25,519010,70000,11107,06,
13,40,1191XX,75000,11107,06,
9,54,1191XX,45000,11108,06,
14,46,411011,70000,11108,06,
39,26,1721YY,25000,11103,06,
22,41,113071,100000,08303,06,
11,34,1191XX,95000,08303,06,
11,33,4990XX,0,08303,06,
18,51,1191XX,175000,11102,06,
26,58,1191XX,80000,08302,06,
19,58,1191XX,40000,08302,06,
25,35,172051,94000,07902,06,
45,29,49904X,40000,11103,06,
24,39,1721YY,130000,11102,06,
13,52,414010,73000,08303,06,
12,24,1721YY,60000,11103,06,
13,46,1191XX,60000,08303,06,
39,31,411011,65000,11102,06,
14,56,1191XX,75000,07902,06,
28,21,172051,20000,07901,06,
28,21,1191XX,0,07901,06,
12,73,514041,0,08302,06,
15,65,414010,0,11102,06,
10,73,411011,0,11109,06,
21,38,1721YY,85000,11109,06,
10,58,1191XX,200000,07901,06,
9,20,411011,12000,11109,06,
9,44,1721YY,180000,11102,06,
20,59,1721YY,112000,11109,06,
20,62,414010,70000,11109,06,
21,40,49904X,32000,11107,06,
21,46,172051,100000,08303,06,
95,37,414010,100000,07902,06,
13,61,411011,47000,11107,06,
9,69,1191XX,0,08303,06,
26,55,1191XX,72000,07902,06,
13,30,172051,2500,11109,06,
23,55,1191XX,230000,11107,06,
8,51,253041,0,07901,06,
24,54,119041,190000,08303,06,
25,48,1191XX,120000,08303,06,
14,60,1191XX,100000,07901,06,
11,60,471011,69000,08301,06,
10,67,1721YY,160000,11108,06,
19,69,1191XX,0,11102,06,
19,40,1191XX,0,11107,06,
13,40,172070,72000,08301,06,
11,43,1191XX,100000,11109,06,
65,27,113071,10500,08303,06,
13,28,1191XX,50000,08303,06,
18,40,472231,28000,07902,06,
18,59,1191XX,110000,07901,06,
15,62,1191XX,115000,11108,06,
15,58,411011,90000,07902,06,
3,23,253041,1200,08303,06,
28,35,1191XX,100000,11108,06,
73,53,1191XX,20000,11108,06,
34,44,1191XX,110000,11102,06,
27,20,411011,20000,08302,06,
17,52,1191XX,170000,11102,06,
46,43,49904X,53000,11107,06,
11,51,1721YY,119000,11102,06,
16,59,172051,150000,11109,06,
19,62,1191XX,94000,11103,06,
33,24,1940YY,40000,11102,06,
21,42,414010,130000,07902,06,
10,25,1191XX,120000,08301,06,
14,34,4990XX,30000,08303,06,
9,70,172070,23000,11109,06,
39,20,411011,9200,08303,06,
24,61,414010,5800,11103,06,
20,59,411011,0,11103,06,
27,30,411011,75000,08303,06,
21,30,411011,300000,08303,06,
38,54,4990XX,44000,11103,06,
