PWGTP,AGEP,WAGP,SOCP,PUMA,ST,
52,55,54000,514041,6602,6,
63,46,115000,119XXX,6400,6,
148,22,27000,119XXX,6602,6,
84,48,110000,119XXX,3701,6,
306,52,40000,471011,3701,6,
40,41,60000,119XXX,6702,6,
71,65,110000,119XXX,6601,6,
47,51,150000,414010,6400,6,
55,35,135000,119XXX,6602,6,
109,58,85000,1940XX,6601,6,
187,56,115000,1721YY,6200,6,
27,48,0,471011,6500,6,
123,63,106000,172051,6500,6,
65,58,130000,119XXX,6601,6,
70,46,104000,49904X,6400,6,
123,38,50000,119XXX,6300,6,
63,50,70000,49904X,6400,6,
54,60,120000,119XXX,6702,6,
201,26,25000,414010,6702,6,
76,43,90000,471011,6602,6,
43,67,89000,119XXX,6601,6,
5,61,0,475040,6701,6,
41,51,107000,172070,6702,6,
38,44,8400,49904X,6200,6,
63,50,0,119XXX,6300,6,
99,32,110000,119XXX,6602,6,
120,44,98000,1721YY,6602,6,
95,63,200000,119XXX,6602,6,
118,57,50000,113071,6702,6,
72,19,1000,1940YY,6702,6,
61,47,137000,1721YY,6300,6,
65,54,120000,471011,6701,6,
39,55,115000,1721YY,6200,6,
43,46,83000,1721YY,6200,6,
38,51,72000,113051,6701,6,
22,63,90000,471011,6701,6,
95,41,38000,119XXX,6400,6,
165,36,100000,113071,6300,6,
58,50,85000,471011,6701,6,
53,51,167000,1721YY,6400,6,
20,50,130000,1940YY,6601,6,
15,24,28000,1940YY,6601,6,
58,22,16300,1721YY,6702,6,
72,26,44000,1940YY,6702,6,
81,36,62000,414010,6701,6,
129,52,70000,4750XX,6200,6,
166,38,0,119XXX,6500,6,
114,44,0,119XXX,6701,6,
75,67,0,119XXX,3701,6,
67,61,32000,119XXX,6701,6,
50,50,45000,113051,6701,6,
61,20,0,49909X,6300,6,
80,53,398000,1721YY,6400,6,
54,54,65000,119XXX,6702,6,
75,23,20000,471011,6400,6,
75,54,0,119XXX,3702,6,
47,47,155000,1721YY,6602,6,
54,48,200000,1721YY,6702,6,
108,64,35500,49904X,6701,6,
62,62,75000,1940YY,6702,6,
51,36,20000,514041,6701,6,
78,47,75000,119XXX,6602,6,
86,37,42000,49904X,6601,6,
45,41,34000,113051,6701,6,
68,50,100000,49904X,3702,6,
120,44,70000,119XXX,3701,6,
147,42,120000,4750YY,6200,6,
61,39,138000,471011,6701,6,
42,32,12000,47XXXX,6602,6,
89,31,65000,119XXX,6602,6,
46,30,92000,119XXX,6701,6,
333,40,40000,414010,6701,6,
70,57,185000,113071,6701,6,
112,37,65000,471011,6602,6,
45,45,156000,172051,6602,6,
15,76,0,471011,6601,6,
33,34,10000,49909X,6601,6,
54,44,36500,119XXX,6400,6,
105,62,70000,119XXX,6602,6,
109,48,82000,1721YY,6701,6,
56,50,52000,414010,6400,6,
45,65,50000,1721YY,3702,6,
56,57,0,414010,6200,6,
124,52,45000,119XXX,3702,6,
53,41,44000,119XXX,6300,6,
165,31,40000,119XXX,6400,6,
71,52,0,119XXX,6702,6,
75,46,46000,119XXX,6701,6,
197,31,100000,119XXX,6400,6,
80,45,70000,113051,6300,6,
33,55,200000,471011,6702,6,
103,75,160000,119XXX,6702,6,
64,29,30600,119XXX,6400,6,
35,27,50000,172141,6602,6,
68,34,130000,1721YY,6500,6,
46,59,150000,119XXX,6702,6,
157,65,4800,414010,6200,6,
435,36,40000,119XXX,6400,6,
36,44,177000,1721YY,6702,6,
39,47,109000,172070,6601,6,
34,35,45000,471011,6701,6,
54,47,120000,119XXX,6601,6,
69,42,60000,119XXX,6601,6,
87,50,137000,1721YY,6300,6,
255,53,0,414010,6701,6,
73,43,70000,49904X,6602,6,
117,47,48000,414010,6200,6,
57,43,140000,119XXX,6400,6,
78,57,59000,1721YY,6200,6,
76,44,75000,1940YY,6701,6,
46,20,2000,414010,6702,6,
141,23,39000,192040,3702,6,
226,23,22000,414010,3702,6,
69,63,0,119XXX,6602,6,
56,66,40800,1721YY,6300,6,
484,51,120000,113051,6602,6,
33,39,15700,119XXX,6400,6,
100,57,50000,414010,3701,6,
45,44,36000,119XXX,6702,6,
84,56,185000,192040,6702,6,
70,55,103000,192040,6702,6,
283,68,3100,49909X,6602,6,
111,43,75000,172051,3701,6,
36,23,20000,414010,6400,6,
66,57,0,119XXX,6602,6,
125,60,0,414010,6400,6,
72,18,5000,414010,6500,6,
108,31,100000,414010,6500,6,
126,41,80000,414010,6300,6,
100,40,70000,414010,6300,6,
68,30,0,49909X,6400,6,
132,43,150000,414010,3701,6,
308,44,52000,119XXX,6300,6,
71,60,70000,49904X,6602,6,
52,62,130000,119XXX,6300,6,
62,56,100000,172051,6701,6,
27,63,80000,119XXX,6300,6,
60,49,38500,119XXX,6200,6,
69,57,60000,192040,6300,6,
22,35,50000,472211,6200,6,
58,63,70000,113071,6200,6,
85,56,0,119XXX,6702,6,
58,59,398000,119XXX,3701,6,
83,35,82000,172070,6602,6,
92,57,84000,1940YY,3702,6,
98,52,0,119XXX,6702,6,
80,52,97000,518090,6701,6,
31,41,65000,119XXX,6601,6,
126,62,160000,119XXX,6400,6,
34,65,0,1721YY,6500,6,
37,51,100000,414010,3702,6,
53,58,80000,119XXX,6300,6,
102,54,0,119XXX,3701,6,
49,47,0,514041,6500,6,
49,44,0,119XXX,6400,6,
44,46,221000,119XXX,6400,6,
36,28,24000,1721YY,6702,6,
116,62,125000,119XXX,6500,6,
64,49,10000,471011,6500,6,
72,73,0,119XXX,6701,6,
11,82,0,119XXX,3701,6,
13,77,4300,119XXX,3701,6,
86,53,75000,113071,6300,6,
17,65,0,119XXX,6702,6,
308,65,100000,119XXX,6601,6,
69,33,75000,471011,6400,6,
217,43,50000,172051,6500,6,
68,62,0,514041,3701,6,
121,55,0,471011,3701,6,
129,27,28500,119XXX,6200,6,
112,22,25200,414010,6200,6,
42,57,91000,414010,6500,6,
83,62,0,471011,6300,6,
37,64,0,119XXX,3702,6,
51,61,118000,1721YY,6602,6,
52,42,108000,119XXX,6400,6,
