PWGTP,AGEP,WAGP,SOCP,PUMA,ST,
84,54,45000,414010,8303,6,
56,53,0,119XXX,7901,6,
44,67,53000,119XXX,11106,6,
99,62,120000,119XXX,11104,6,
27,53,104000,172141,8302,6,
47,55,200000,119XXX,11103,6,
104,62,50000,119XXX,11103,6,
111,67,0,172051,11102,6,
105,30,50000,119XXX,8303,6,
74,57,41000,49904X,11104,6,
116,57,115000,414010,8303,6,
67,31,39000,49904X,7902,6,
108,28,33600,119XXX,8303,6,
61,34,80000,414010,11104,6,
245,35,60000,414010,11103,6,
41,61,40000,119XXX,11102,6,
92,60,120000,119XXX,7901,6,
325,31,34000,414010,7901,6,
101,59,25000,414010,11102,6,
106,52,160000,414010,11104,6,
80,40,220000,119XXX,11106,6,
36,66,120000,172051,11101,6,
74,59,0,119XXX,11103,6,
126,73,45000,471011,7901,6,
35,56,50000,119XXX,11106,6,
55,52,160000,119XXX,11106,6,
199,20,5000,1721YY,7901,6,
67,75,0,192040,11104,6,
28,21,4000,119XXX,7901,6,
333,40,52000,119XXX,8302,6,
102,55,90000,1721YY,8303,6,
109,67,455000,172070,7901,6,
81,56,95000,471011,11102,6,
200,43,60000,471011,11103,6,
67,52,165000,414010,11106,6,
134,25,15000,119XXX,11106,6,
59,58,52000,119XXX,11104,6,
165,57,80000,119XXX,8303,6,
171,52,80000,414010,11101,6,
60,33,145000,119XXX,8303,6,
125,38,180000,471011,11104,6,
51,58,150000,119XXX,8303,6,
92,73,30000,1721YY,11104,6,
46,64,0,471011,11105,6,
110,61,100000,119XXX,8303,6,
98,40,200000,119041,11102,6,
117,58,0,119XXX,11106,6,
166,30,0,119XXX,11105,6,
85,53,25000,119XXX,11102,6,
108,21,20000,519010,8301,6,
65,52,40000,414010,11101,6,
60,56,100000,414010,11103,6,
146,51,150000,172070,11105,6,
61,52,60000,475040,7902,6,
17,61,199000,119041,8302,6,
144,22,42000,113071,8303,6,
66,46,76000,119XXX,8303,6,
93,49,455000,119XXX,11102,6,
51,65,0,192040,11106,6,
65,57,112000,172141,11101,6,
68,43,0,172141,11101,6,
72,44,113000,119XXX,11102,6,
71,55,111000,518090,8301,6,
102,66,142000,1721YY,11102,6,
58,59,96000,119XXX,8303,6,
88,19,1000,47XXXX,7901,6,
41,47,60000,119XXX,11101,6,
43,65,0,4990XX,11101,6,
41,58,6000,119041,11105,6,
79,51,108000,1721YY,8303,6,
98,50,455000,119XXX,11101,6,
63,27,62000,514041,7902,6,
51,28,16000,119XXX,7902,6,
61,33,75000,119XXX,11102,6,
