PWGTP,AGEP,WAGP,SOCP,PUMA,ST,
2,85,3000,1721YY,8302,6,
22,36,8000,1721YY,7901,6,
25,51,115000,471011,8302,6,
8,55,69000,414010,11106,6,
32,38,27000,49904X,7902,6,
11,56,120000,471011,11105,6,
24,62,0,113071,11103,6,
12,56,86000,172141,8303,6,
10,28,35000,471011,11101,6,
12,42,105000,414010,11101,6,
25,59,40000,471011,7902,6,
11,73,3300,514041,8301,6,
19,56,40000,172051,7902,6,
12,53,102000,172070,11102,6,
21,59,3000,414010,11103,6,
24,44,138000,414010,11106,6,
21,73,0,471011,8302,6,
15,65,96000,414010,11101,6,
23,29,48000,518090,11106,6,
22,55,200000,172070,7901,6,
44,25,80000,172051,7901,6,
12,46,82000,472211,11104,6,
15,49,97000,1721YY,8303,6,
2,19,6000,4990XX,11103,6,
26,29,1100,414010,7901,6,
10,29,45000,1721YY,7901,6,
14,40,45000,414010,7902,6,
10,41,0,172141,8303,6,
15,19,30000,49904X,11104,6,
15,60,125000,414010,8303,6,
20,48,110000,414010,11104,6,
76,45,80000,1721YY,8303,6,
15,46,80000,49904X,11103,6,
4,64,0,514041,7902,6,
14,69,79000,1721YY,11102,6,
21,34,110000,1721YY,8301,6,
12,78,0,414010,8303,6,
14,77,0,119041,8301,6,
9,49,0,471011,8303,6,
18,37,0,414010,7902,6,
31,54,130000,172070,11104,6,
12,66,0,471011,8301,6,
4,82,0,414010,8302,6,
14,46,30000,4990XX,8303,6,
12,49,113000,172070,11101,6,
14,47,100000,414010,11106,6,
22,52,99000,172141,8301,6,
37,24,55000,1721YY,8301,6,
28,75,0,1940YY,8303,6,
14,24,30000,414010,11102,6,
52,44,22600,414010,8302,6,
20,66,0,514041,7901,6,
61,33,32000,113051,8302,6,
16,28,77000,172070,11103,6,
17,48,10000,414010,11103,6,
53,52,75000,119041,11106,6,
25,56,50000,414010,11102,6,
29,46,62000,1940YY,8301,6,
52,25,12000,414010,8302,6,
18,26,38000,1721YY,8303,6,
20,24,30000,414010,11106,6,
14,45,23400,49904X,11103,6,
15,48,55000,518010,7902,6,
15,42,0,471011,11102,6,
16,44,75000,414010,11102,6,
63,24,60000,414010,11106,6,
81,31,30000,4990XX,11106,6,
13,49,200000,172141,11101,6,
13,65,0,414010,7901,6,
13,31,71000,1721YY,11102,6,
20,30,47500,519010,7901,6,
21,54,65000,49904X,11106,6,
12,50,60000,414010,11104,6,
24,46,60000,471011,11101,6,
13,47,37800,471011,11105,6,
10,27,35000,4990XX,8302,6,
34,31,72000,514041,11104,6,
7,77,0,1721YY,11102,6,
7,51,3000,414010,11105,6,
9,50,100000,414010,11105,6,
14,62,140000,119041,11102,6,
26,60,224000,414010,11102,6,
23,54,49900,1721YY,11101,6,
25,44,150000,414010,11102,6,
11,41,120000,414010,11101,6,
14,25,50000,49904X,7902,6,
12,39,86000,172051,11104,6,
16,38,22000,514041,7901,6,
33,62,40700,514041,11105,6,
21,19,86000,1940YY,11103,6,
22,34,18000,471011,11103,6,
8,54,150000,414010,11102,6,
13,45,150000,1721YY,11104,6,
47,42,35200,414010,7901,6,
7,25,64000,1721YY,7901,6,
13,52,102000,414010,7902,6,
12,48,54000,414010,7902,6,
26,53,240000,414010,8303,6,
15,72,95000,1721YY,11103,6,
19,43,100000,475040,8302,6,
34,29,125000,518090,8301,6,
14,51,28200,514041,11101,6,
23,32,52000,113071,7902,6,
13,49,140000,471011,11104,6,
17,31,37000,471011,11104,6,
15,67,0,4990XX,8303,6,
29,41,31000,49904X,7901,6,
12,50,200000,119041,11105,6,
14,64,0,519010,7902,6,
26,42,0,519010,11102,6,
11,63,0,471011,11106,6,
13,52,60000,414010,11102,6,
11,18,300,1940YY,8303,6,
7,69,42000,514041,11103,6,
12,46,50000,471011,11106,6,
9,49,0,471011,7902,6,
11,59,88000,1721YY,7901,6,
11,49,88000,1721YY,7901,6,
14,52,26000,471011,7901,6,
9,32,0,1940YY,7901,6,
8,31,107000,172070,7901,6,
13,42,0,49904X,8301,6,
24,42,160000,172070,11102,6,
18,20,25000,414010,11101,6,
12,52,98000,119041,8301,6,
95,33,65000,514041,11106,6,
20,37,42000,1721YY,11105,6,
21,25,55000,519010,7901,6,
10,46,45300,172051,7901,6,
38,20,30000,519010,8302,6,
21,33,62000,172051,8301,6,
20,34,70000,172051,11105,6,
13,33,55000,113071,11101,6,
23,62,0,414010,11106,6,
20,48,55000,471011,11105,6,
18,39,80000,414010,8303,6,
13,59,0,172070,8303,6,
17,62,105000,172051,11103,6,
13,58,160000,1721YY,11102,6,
23,51,78000,414010,11104,6,
29,45,110000,1721YY,11103,6,
21,29,24000,519010,7902,6,
