PWGTP,AGEP,WAGP,SOCP,PUMA,ST,
227,31,64000,1721YY,6602,6,
90,41,141000,192040,6500,6,
90,24,26000,471011,6200,6,
92,41,75000,414010,6602,6,
80,50,76000,172051,6701,6,
70,70,0,113071,6200,6,
85,29,35000,472211,6200,6,
76,47,21000,414010,6300,6,
79,60,208000,113051,3701,6,
88,38,70000,471011,6300,6,
56,64,9500,471011,3702,6,
61,21,12000,1940XX,3702,6,
77,57,70000,414010,6702,6,
202,38,0,471011,6500,6,
90,45,170000,119041,6702,6,
71,47,120000,172070,6701,6,
72,53,120000,514041,3701,6,
71,41,60000,49904X,6400,6,
53,35,64000,471011,6500,6,
62,39,130000,172051,6702,6,
64,56,92000,172070,6500,6,
251,42,75000,414010,6601,6,
137,49,45000,192040,6701,6,
73,37,91000,172141,6400,6,
57,43,98000,172070,6702,6,
72,20,20000,514041,6702,6,
59,42,15000,414010,6701,6,
148,41,90000,1721YY,6200,6,
80,26,24000,414010,6400,6,
79,43,0,49909X,3701,6,
59,55,120000,471011,6702,6,
338,45,80000,1721YY,6500,6,
107,30,30000,471011,6200,6,
92,53,94000,113051,6701,6,
107,50,55000,471011,6602,6,
80,58,0,519010,3701,6,
88,59,415000,414010,3702,6,
184,55,105000,414010,6300,6,
203,56,0,414010,6500,6,
70,36,48000,414010,6200,6,
89,53,85000,1721YY,6400,6,
63,43,37900,471011,6601,6,
88,46,70000,172051,6200,6,
64,19,15000,414010,6602,6,
88,38,62000,471011,6500,6,
64,35,43000,414010,6200,6,
58,39,30000,519010,6602,6,
68,46,50000,471011,6500,6,
135,63,85000,172070,6200,6,
210,30,40000,414010,6701,6,
113,47,90000,1721YY,6602,6,
187,28,18000,113051,6200,6,
97,40,84000,471011,6601,6,
69,56,58000,471011,6701,6,
87,64,140000,172070,6500,6,
66,40,105000,1721YY,6602,6,
59,57,35600,192040,3702,6,
58,37,15200,113071,6300,6,
124,53,65000,113071,6601,6,
97,33,30000,471011,6400,6,
62,39,29400,471011,6500,6,
63,45,0,471011,6400,6,
104,53,0,49904X,6500,6,
98,42,55000,514041,6602,6,
69,49,150000,414010,6500,6,
59,31,9500,514041,6701,6,
62,35,57000,471011,6702,6,
95,53,0,471011,6701,6,
80,65,120,1721YY,3701,6,
81,45,149000,113051,6500,6,
209,20,3000,1940XX,6500,6,
39,63,108000,471011,6602,6,
61,45,98000,1721YY,6602,6,
76,57,135000,414010,3702,6,
59,32,70000,49904X,6400,6,
258,43,34000,471011,6702,6,
86,57,85000,414010,6500,6,
208,24,0,414010,6200,6,
207,21,0,414010,6200,6,
36,48,50000,49904X,6701,6,
98,43,25000,172051,6500,6,
25,53,74000,1721YY,6601,6,
89,59,90000,471011,6601,6,
84,57,10000,49909X,6602,6,
292,63,58000,172070,6602,6,
60,43,58000,172070,6300,6,
52,53,40300,471011,6701,6,
65,47,101000,172070,6400,6,
58,45,50000,414010,3702,6,
242,27,55000,414010,6400,6,
92,17,1500,414010,6702,6,
89,62,136000,1721YY,6400,6,
64,60,75000,172141,6400,6,
55,65,415000,113071,6701,6,
60,66,14400,113071,6701,6,
67,44,35000,49904X,6601,6,
69,58,80000,414010,6400,6,
65,63,0,519010,6400,6,
58,33,12000,414010,3701,6,
71,33,148000,414010,3701,6,
78,31,50000,519010,3701,6,
59,48,0,49909X,6701,6,
67,48,120000,414010,6300,6,
55,56,28800,49909X,6701,6,
78,40,90000,119041,6701,6,
88,40,70000,119041,6701,6,
61,59,173000,414010,6702,6,
67,43,83000,172141,6200,6,
64,18,2400,414010,3702,6,
63,51,130000,172051,6500,6,
93,21,8000,1721YY,6701,6,
80,32,52000,471011,6602,6,
57,39,56000,1721YY,6702,6,
91,56,64000,172051,3702,6,
66,44,38000,471011,6200,6,
77,54,100000,471011,6602,6,
130,51,18000,414010,6701,6,
89,44,0,471011,3702,6,
63,56,39600,414010,6300,6,
42,64,135000,1721YY,6602,6,
82,42,0,471011,3701,6,
87,48,90000,172070,6500,6,
70,73,0,49909X,6500,6,
49,32,79000,172051,6200,6,
60,58,110000,414010,6400,6,
91,67,0,414010,6602,6,
116,58,74000,1721YY,6602,6,
94,48,120000,1721YY,6500,6,
281,27,45000,514041,6701,6,
73,64,96000,1721YY,6300,6,
81,24,50000,1721YY,6300,6,
226,69,120000,172051,6701,6,
71,56,45000,49904X,6701,6,
81,56,50000,514041,6602,6,
91,56,30000,514041,6400,6,
52,50,45000,192040,6702,6,
70,27,0,172051,3702,6,
100,57,0,414010,6400,6,
93,52,87000,471011,6602,6,
79,26,40000,471011,3701,6,
64,71,0,414010,6500,6,
64,56,135000,119041,6500,6,
306,26,40000,471011,3702,6,
135,26,14800,1940XX,3702,6,
63,69,99000,49909X,6400,6,
70,53,144000,172070,6500,6,
88,65,415000,471011,6300,6,
57,53,105000,1721YY,3702,6,
63,46,0,414010,6200,6,
48,34,46000,414010,6400,6,
69,49,100000,414010,6702,6,
62,63,40000,172070,6702,6,
53,27,33000,414010,6701,6,
97,57,168000,414010,6500,6,
175,29,30000,414010,6300,6,
82,48,0,414010,6300,6,
85,55,70000,471011,6500,6,
95,39,30000,471011,3702,6,
68,55,108000,172141,6400,6,
65,55,90000,414010,6702,6,
89,57,57000,414010,6601,6,
60,60,60000,49909X,6701,6,
100,70,170,1940XX,6601,6,
74,72,0,49909X,6601,6,
340,26,19200,414010,6200,6,
210,40,43000,471011,6702,6,
210,44,14100,471011,6702,6,
127,53,45000,1940XX,6300,6,
64,47,95000,519010,3702,6,
87,40,46000,471011,3701,6,
61,46,63000,1940XX,6500,6,
89,25,59000,1721YY,6300,6,
81,52,0,471011,6200,6,
89,45,96000,1721YY,6701,6,
95,39,0,414010,3702,6,
420,29,70000,1721YY,6602,6,
100,29,40000,514041,6601,6,
67,48,155000,172141,3701,6,
73,32,150000,471011,6500,6,
97,55,0,49909X,6602,6,
82,54,0,471011,6702,6,
82,26,30000,1940XX,6702,6,
66,51,28000,471011,3701,6,
77,43,70000,471011,6400,6,
68,45,80000,471011,6200,6,
129,46,110000,119041,6500,6,
229,39,63000,471011,6200,6,
73,40,415000,414010,6702,6,
66,60,50000,172070,6602,6,
77,55,5000,414010,6602,6,
70,47,50000,514041,6400,6,
82,91,0,414010,6702,6,
92,72,0,1721YY,3701,6,
76,24,34000,1721YY,3702,6,
73,51,105000,1721YY,3702,6,
70,23,29000,414010,6702,6,
59,63,70000,471011,6601,6,
88,41,0,475021,6701,6,
65,81,100000,1721YY,3701,6,
93,39,35500,49904X,6601,6,
70,39,60000,414010,6602,6,
81,26,50000,172051,3702,6,
48,50,50000,471011,6602,6,
