PWGTP,AGEP,WAGP,SOCP,PUMA,ST,
126,32,70000,113071,11104,6,
34,59,120000,414010,11106,6,
182,24,20000,1721YY,7901,6,
61,58,241000,119XXX,11102,6,
54,75,5000,172051,11106,6,
86,24,78000,172051,8303,6,
99,30,90000,1721YY,8303,6,
68,51,180000,172070,8303,6,
36,40,483000,119XXX,11102,6,
92,49,0,4990XX,8302,6,
66,62,0,119XXX,8301,6,
251,47,150000,119XXX,11102,6,
63,52,18000,119XXX,11103,6,
269,21,15000,414010,8301,6,
114,64,0,119XXX,7901,6,
107,68,60000,172141,7901,6,
59,68,0,119XXX,11106,6,
48,22,32500,119XXX,8303,6,
102,70,0,1721YY,11102,6,
41,31,21600,47XXXX,11106,6,
55,54,75000,113051,11104,6,
153,31,68000,1721XX,11104,6,
54,37,90000,119XXX,11102,6,
60,61,251000,119XXX,11102,6,
57,51,65000,471011,11103,6,
163,47,50000,119XXX,11104,6,
61,69,175000,119XXX,11101,6,
56,65,175000,119XXX,11101,6,
153,24,33300,4990XX,11104,6,
65,44,1500,119XXX,8301,6,
294,60,20000,119XXX,11102,6,
71,50,155000,119XXX,11101,6,
109,64,0,119XXX,7901,6,
141,27,60000,119XXX,11106,6,
51,52,100000,471011,8301,6,
65,43,275000,119XXX,11101,6,
278,45,35000,519010,11103,6,
261,19,5000,519010,11103,6,
60,56,150000,1721YY,11106,6,
64,60,125000,414010,11104,6,
295,38,250000,414010,11102,6,
373,43,140000,414010,11101,6,
51,66,483000,4990XX,8302,6,
100,42,155000,119XXX,8303,6,
38,58,112000,172070,11103,6,
66,56,100000,414010,11106,6,
116,60,24000,414010,11101,6,
27,69,72000,172051,7902,6,
28,72,50000,119XXX,7902,6,
98,47,125000,119XXX,8303,6,
127,68,0,119XXX,11105,6,
179,27,28000,518090,8303,6,
69,41,2200,119XXX,11101,6,
85,53,82000,49904X,11101,6,
38,65,0,119XXX,8302,6,
74,40,0,119XXX,11101,6,
67,66,0,119XXX,11102,6,
119,50,95000,471011,8302,6,
94,51,75000,414010,11101,6,
69,60,143000,172070,11101,6,
60,44,110000,119XXX,8303,6,
61,58,45000,471011,11105,6,
139,50,35000,1721YY,8303,6,
67,35,0,471011,7902,6,
100,69,217000,119XXX,11101,6,
98,55,50000,119XXX,7901,6,
84,49,95000,1721YY,11106,6,
43,28,12000,414010,11103,6,
78,53,60000,119XXX,8302,6,
142,21,2000,119XXX,11105,6,
87,49,36000,414010,11101,6,
91,46,73000,119XXX,11101,6,
38,38,27000,514041,11102,6,
64,26,28000,119XXX,7901,6,
39,55,200000,119041,8302,6,
114,33,100000,119XXX,8303,6,
42,66,190000,119XXX,11103,6,
70,62,36000,119XXX,11104,6,
50,21,7500,172051,7901,6,
64,46,158000,119XXX,11102,6,
95,44,200000,119XXX,11106,6,
181,53,35000,119XXX,11101,6,
61,63,0,414010,11102,6,
62,50,0,119XXX,11102,6,
82,25,50000,119XXX,11102,6,
123,35,120000,119XXX,8302,6,
104,64,6000,119XXX,11103,6,
107,52,60000,119XXX,11103,6,
162,63,12000,119XXX,7901,6,
91,34,50000,414010,7901,6,
85,47,45000,119XXX,8303,6,
79,50,50000,119XXX,11101,6,
90,61,0,4990XX,8303,6,
47,26,14400,4990XX,11101,6,
48,37,25000,119XXX,8303,6,
67,51,7000,119XXX,8303,6,
65,63,70000,172051,11104,6,
78,46,28000,119XXX,7902,6,
55,70,52000,414010,11101,6,
57,55,84000,119XXX,11102,6,
93,60,0,172070,7902,6,
45,61,100000,471011,8303,6,
55,39,240000,119XXX,11102,6,
88,73,3000,471011,7902,6,
191,43,90000,119XXX,8301,6,
66,63,80000,471011,11102,6,
76,35,483000,414010,7901,6,
58,74,60000,471011,8303,6,
105,66,12000,471011,8303,6,
134,54,76000,113051,8302,6,
155,60,175000,119XXX,7902,6,
70,45,130000,172051,11104,6,
185,62,62000,514041,11106,6,
123,32,65000,192040,8303,6,
204,67,0,119XXX,8303,6,
65,32,35000,119XXX,8303,6,
53,64,30000,119XXX,8302,6,
199,51,38000,49904X,11103,6,
45,81,0,4990XX,11102,6,
124,64,94000,192040,7902,6,
67,60,110000,119XXX,8303,6,
44,45,50000,49904X,11101,6,
122,49,70000,119XXX,7902,6,
69,25,70000,119XXX,11104,6,
111,45,85000,1721YY,11106,6,
120,64,0,414010,7902,6,
242,43,68000,113051,11106,6,
102,34,75000,471011,8302,6,
97,36,43700,1721YY,11102,6,
190,41,22000,49904X,8301,6,
269,50,36000,471011,11102,6,
430,54,56000,414010,11102,6,
124,59,70000,119XXX,7902,6,
105,55,70000,119XXX,7902,6,
75,51,120000,172141,8301,6,
122,43,105000,119XXX,11103,6,
33,57,0,119XXX,11101,6,
106,51,161000,119041,8303,6,
81,34,76000,119XXX,11101,6,
113,67,0,414010,11102,6,
46,41,80000,119XXX,11102,6,
105,61,83000,119XXX,11102,6,
78,53,140000,119XXX,11106,6,
59,47,80000,119XXX,11102,6,
87,42,80000,119XXX,11106,6,
121,36,125000,172051,11102,6,
56,67,25000,119XXX,7901,6,
66,60,120000,1721YY,11104,6,
297,78,0,119XXX,8301,6,
45,57,0,119XXX,8302,6,
76,58,125000,119XXX,11104,6,
67,65,120000,119XXX,11101,6,
176,35,75000,113051,7901,6,
30,62,100000,113051,8302,6,
98,62,123000,414010,11101,6,
55,58,0,119XXX,11101,6,
350,39,33000,472211,7902,6,
106,52,100000,1721YY,7902,6,
90,43,120000,119XXX,11106,6,
52,30,30000,414010,11106,6,
94,20,70000,4750XX,8302,6,
200,56,100000,172070,11106,6,
114,31,80000,119XXX,7902,6,
77,26,30000,414010,11103,6,
99,52,5000,119XXX,11102,6,
52,70,32000,414010,11105,6,
57,31,65000,192040,8303,6,
71,31,85000,1721YY,8301,6,
52,53,250000,119XXX,11104,6,
22,62,20000,119XXX,8302,6,
44,62,76000,414010,11102,6,
151,37,12000,414010,8302,6,
79,52,103000,192040,7901,6,
34,36,65000,414010,11103,6,
100,40,26000,514041,8303,6,
70,37,85000,1721YY,11104,6,
133,64,15000,119XXX,8302,6,
63,65,72000,119XXX,8301,6,
39,31,29000,471011,11106,6,
174,27,56000,119XXX,8301,6,
59,50,130000,1721YY,8301,6,
63,39,99000,119XXX,11104,6,
14,37,130000,119XXX,11105,6,
10,38,120000,119XXX,11105,6,
94,44,240000,119XXX,11102,6,
39,52,40000,119XXX,11101,6,
116,45,80000,1721YY,8303,6,
127,45,0,119XXX,11103,6,
69,29,30000,414010,11104,6,
65,58,210000,119XXX,8303,6,
82,33,40000,119XXX,11106,6,
114,47,104000,119XXX,11106,6,
53,52,0,414010,7901,6,
93,33,104000,172070,8303,6,
206,42,100000,119XXX,11104,6,
67,53,65000,471011,11105,6,
65,26,64000,1721YY,11101,6,
94,27,50000,119XXX,11101,6,
58,40,102000,1721YY,11101,6,
68,41,45000,119XXX,7902,6,
26,43,36000,4990XX,8302,6,
106,41,72000,119XXX,8303,6,
