PWGTP,AGEP,WAGP,SOCP,PUMA,ST,
63,66,67000,414010,6500,6,
66,58,56000,414010,6500,6,
224,23,37800,172051,6601,6,
245,28,58000,119XXX,6300,6,
271,30,80000,1721YY,6400,6,
75,55,0,414010,6701,6,
130,58,3000,414010,6601,6,
109,23,32000,49909X,6602,6,
66,46,100000,471011,6500,6,
57,71,101000,172070,6702,6,
74,55,90000,414010,6400,6,
56,49,32200,414010,3701,6,
68,60,68000,119XXX,6400,6,
38,31,56000,119XXX,3702,6,
77,52,52000,49904X,3702,6,
77,31,80000,172141,6300,6,
100,43,105000,172141,6601,6,
66,47,36000,514041,6702,6,
95,56,145000,119XXX,6701,6,
180,50,0,119XXX,6701,6,
103,52,118000,1721YY,6602,6,
97,44,0,1721YY,6602,6,
77,45,81000,119XXX,6701,6,
60,63,0,1721YY,6702,6,
93,63,120000,119XXX,6300,6,
61,40,100000,119XXX,6702,6,
60,34,40000,471011,6702,6,
94,69,0,414010,6300,6,
82,58,21600,414010,3702,6,
59,55,52000,414010,6500,6,
65,43,65000,414010,6300,6,
48,19,2000,471011,6702,6,
58,53,145000,1721YY,6601,6,
57,53,12000,471011,3701,6,
57,59,4400,119XXX,6602,6,
62,57,0,471011,6702,6,
67,63,21000,471011,6400,6,
87,65,0,514041,3701,6,
96,42,80000,414010,3701,6,
73,27,70000,172070,6702,6,
73,60,100000,514041,6400,6,
55,63,5600,119XXX,6601,6,
101,37,75000,414010,6500,6,
70,50,160000,119XXX,6200,6,
73,55,66000,119XXX,6701,6,
85,57,38000,1940YY,3701,6,
62,52,56000,4750YY,6300,6,
70,33,62000,414010,6701,6,
63,42,110000,414010,6400,6,
92,31,98000,414010,6400,6,
57,55,100000,518010,6500,6,
76,21,1200,119XXX,6702,6,
214,41,46800,471011,6601,6,
159,33,45000,49904X,6701,6,
70,26,36000,471011,6500,6,
76,23,30000,414010,6500,6,
268,52,92000,1721YY,6701,6,
101,39,85000,414010,6602,6,
79,26,20000,119XXX,6500,6,
77,57,50000,49904X,6400,6,
102,48,0,119XXX,6702,6,
86,56,200000,119XXX,6601,6,
58,52,33700,49909X,6400,6,
85,38,9000,119XXX,3701,6,
70,52,165000,119XXX,6400,6,
37,35,59000,172141,6200,6,
78,50,51000,471011,6300,6,
57,51,35000,1721YY,6500,6,
85,55,80000,172070,3701,6,
74,53,0,119XXX,6400,6,
95,42,200000,119XXX,6500,6,
88,46,0,119XXX,6500,6,
103,26,260,4750XX,6702,6,
121,27,37000,172070,6602,6,
80,49,35000,471011,3701,6,
101,39,70000,1721YY,6300,6,
67,25,50000,414010,3702,6,
81,36,70000,49909X,6601,6,
77,39,46000,471011,6602,6,
72,57,150000,172070,6702,6,
94,26,35000,49904X,3702,6,
115,59,0,119XXX,3701,6,
65,50,0,119XXX,6300,6,
85,35,68000,475021,6300,6,
133,59,70000,113071,6702,6,
82,47,48000,4750XX,6702,6,
90,43,60000,471011,6701,6,
66,54,125000,119041,6500,6,
284,38,0,119XXX,3702,6,
85,22,13000,518010,3702,6,
63,45,55000,414010,6400,6,
74,47,175000,414010,6500,6,
99,34,12400,113051,6500,6,
103,33,117000,119XXX,6702,6,
73,68,100000,119XXX,6602,6,
76,33,42000,471011,3701,6,
69,64,136000,1721YY,6602,6,
98,63,0,119XXX,6602,6,
87,25,65000,49909X,6602,6,
81,40,90000,471011,6701,6,
95,19,11000,4750XX,6701,6,
101,30,35000,471011,6400,6,
86,80,32700,119XXX,6702,6,
102,46,33200,49904X,6702,6,
57,29,68000,113071,3702,6,
64,21,0,414010,6400,6,
57,36,55000,119XXX,6400,6,
59,64,0,471011,6300,6,
104,31,43700,113051,6602,6,
75,56,0,471011,6701,6,
67,44,57000,192040,6702,6,
87,36,0,119XXX,6702,6,
93,48,78000,1940YY,6702,6,
91,43,0,471011,3701,6,
112,24,66000,172141,6702,6,
99,58,80000,4750XX,6601,6,
69,40,150000,414010,6400,6,
74,74,76000,1940XX,6300,6,
96,65,16000,119XXX,3701,6,
244,23,14100,119XXX,6500,6,
224,54,113000,514041,6400,6,
82,54,382000,119XXX,6300,6,
72,54,110000,119XXX,6300,6,
73,65,140000,119041,6500,6,
72,18,600,414010,6601,6,
73,21,4600,192040,6702,6,
85,53,110000,414010,6500,6,
83,46,58000,414010,6400,6,
60,50,31000,119XXX,6701,6,
58,33,85000,519010,3701,6,
88,64,100000,414010,3701,6,
186,40,0,414010,6702,6,
200,40,85000,414010,6702,6,
69,47,100000,1721YY,6200,6,
56,44,38000,471011,6602,6,
204,63,120000,414010,6200,6,
58,50,135000,119XXX,6701,6,
68,75,0,1721YY,3701,6,
68,53,80000,119XXX,6200,6,
231,41,8000,119XXX,6500,6,
76,43,123000,119XXX,6602,6,
79,47,97000,1721YY,6602,6,
86,67,0,119041,6200,6,
54,52,161000,172051,6300,6,
61,67,0,119XXX,6602,6,
72,40,200000,119XXX,6200,6,
75,55,85000,119XXX,6200,6,
76,51,0,472211,3702,6,
71,60,48000,49904X,6702,6,
96,66,0,172051,3701,6,
19,39,50000,49904X,3701,6,
57,29,42000,414010,6602,6,
59,55,9000,119XXX,6300,6,
71,38,105000,519010,6701,6,
199,21,30000,119XXX,6200,6,
38,41,0,119XXX,3702,6,
66,61,40000,514041,6400,6,
101,37,0,414010,6300,6,
68,48,40000,119XXX,6200,6,
353,26,100000,119XXX,6701,6,
90,59,382000,119XXX,6500,6,
63,54,0,49904X,3702,6,
87,27,36000,119XXX,3701,6,
53,43,36000,519010,3701,6,
94,75,0,119XXX,6601,6,
60,50,42000,119XXX,6602,6,
79,51,130000,414010,6500,6,
56,67,0,471011,6400,6,
169,25,32000,1721YY,3702,6,
64,54,80000,471011,6601,6,
65,30,73000,172051,6702,6,
96,51,36000,414010,6300,6,
86,52,13000,471011,6400,6,
90,37,67000,414010,3702,6,
79,29,60000,119XXX,6702,6,
81,46,382000,119XXX,6500,6,
20,58,140000,519010,6701,6,
60,51,64000,119XXX,6702,6,
87,48,44000,119XXX,3701,6,
86,52,93000,119XXX,6300,6,
75,37,8000,519020,6200,6,
31,64,0,119XXX,6400,6,
83,48,70000,119XXX,3702,6,
97,60,40000,119XXX,3702,6,
94,55,60000,49904X,6400,6,
58,66,108000,1721YY,6602,6,
66,41,65000,113051,6601,6,
68,21,10000,1940YY,6702,6,
69,57,52000,113051,6300,6,
205,39,0,119XXX,6400,6,
62,51,50000,119XXX,3702,6,
71,26,30000,172070,6701,6,
192,60,49000,113071,6601,6,
51,66,50000,172051,6200,6,
64,47,16000,414010,6701,6,
56,19,1000,414010,6701,6,
75,46,38000,514041,6601,6,
261,52,100000,119XXX,6500,6,
64,58,28600,519020,6200,6,
84,42,52000,119XXX,3702,6,
90,44,133000,119041,6701,6,
96,49,100000,471011,6400,6,
80,45,0,49904X,3701,6,
210,36,25000,519020,6200,6,
54,46,75000,119XXX,6602,6,
86,50,93000,119XXX,6200,6,
95,55,0,119XXX,3701,6,
72,55,39000,119XXX,6701,6,
294,30,80000,4750XX,6200,6,
104,40,9800,1721YY,6702,6,
84,45,109000,119XXX,6601,6,
77,43,80000,119XXX,6601,6,
38,68,0,119XXX,6602,6,
58,26,115000,1721XX,6300,6,
83,60,55000,414010,6400,6,
65,52,0,49909X,3701,6,
81,49,30000,414010,6400,6,
118,55,0,472211,6701,6,
79,46,100000,119XXX,6500,6,
176,27,40000,519010,6300,6,
73,52,200000,113051,6602,6,
56,54,3700,119XXX,6500,6,
79,46,0,471011,3702,6,
198,63,73000,119XXX,6200,6,
282,64,75000,119XXX,6200,6,
106,22,43400,518090,3702,6,
88,50,140000,113071,6400,6,
53,39,0,119XXX,6500,6,
180,28,49000,518010,6701,6,
59,69,12000,119XXX,6601,6,
87,49,156000,119XXX,6500,6,
90,59,36000,471011,6601,6,
70,45,58000,49904X,6702,6,
79,41,37800,4750XX,6200,6,
121,49,0,49909X,3701,6,
86,64,60000,113071,6200,6,
64,44,0,49904X,6200,6,
79,55,12000,172070,6500,6,
368,47,105000,519010,6701,6,
98,59,44900,172070,3701,6,
66,54,0,172070,6500,6,
102,73,110000,119041,3701,6,
58,74,0,172051,6602,6,
75,32,74000,1721YY,3702,6,
79,63,73000,119XXX,6602,6,
80,73,45000,414010,6500,6,
142,49,100000,172070,3702,6,
84,45,102000,119XXX,6602,6,
59,54,0,49909X,3701,6,
62,59,0,119XXX,6601,6,
89,60,0,172070,6702,6,
93,56,130000,119XXX,6602,6,
26,58,220000,119XXX,6701,6,
24,49,0,49909X,6701,6,
54,42,74000,49904X,6200,6,
75,53,0,414010,6602,6,
60,63,82000,471011,3701,6,
98,60,7500,471011,6602,6,
108,48,0,471011,6602,6,
76,47,85000,119XXX,6500,6,
103,55,30000,471011,3701,6,
77,68,0,119XXX,6601,6,
72,50,69000,475040,6200,6,
114,31,75000,1721YY,6602,6,
297,70,0,49904X,3702,6,
68,53,60000,113051,6400,6,
61,51,0,119XXX,6400,6,
57,57,100000,192040,3701,6,
89,58,0,119XXX,6200,6,
77,30,37400,471011,6400,6,
88,50,382000,471011,6601,6,
134,49,16000,119XXX,6601,6,
55,53,9800,471011,3701,6,
126,36,105000,1721YY,6602,6,
72,38,0,119XXX,6602,6,
61,59,48000,172070,6400,6,
66,47,60000,119XXX,6400,6,
58,67,0,192040,6602,6,
115,21,0,49909X,3701,6,
78,54,0,119XXX,6702,6,
47,28,27600,49909X,6200,6,
74,60,60000,119XXX,6400,6,
58,30,0,1940YY,6701,6,
97,68,100000,119XXX,6500,6,
65,57,96000,119XXX,3702,6,
64,51,63000,414010,6300,6,
65,67,103000,119041,6400,6,
54,49,69000,119XXX,6300,6,
76,46,175000,414010,6602,6,
49,51,360,119XXX,6601,6,
82,48,210,119XXX,6601,6,
99,67,40000,414010,6300,6,
78,73,0,119XXX,3701,6,
76,46,60000,119XXX,6500,6,
89,44,50000,414010,6602,6,
78,39,55000,414010,6300,6,
25,47,54000,119XXX,6701,6,
131,31,0,47XXXX,6601,6,
67,44,65000,119XXX,6601,6,
64,45,0,49909X,3702,6,
93,46,0,172051,6602,6,
88,58,51000,414010,6701,6,
88,50,136000,49909X,3702,6,
62,49,60000,113051,6702,6,
79,35,200000,172070,6702,6,
166,53,75000,172051,6300,6,
73,56,206000,172141,6602,6,
107,24,24000,119XXX,6702,6,
157,50,18000,119XXX,6200,6,
173,37,0,119XXX,6300,6,
92,45,85000,119XXX,6602,6,
112,23,13000,119XXX,3702,6,
67,60,0,1721YY,6601,6,
91,42,83000,172051,3701,6,
65,52,92000,172051,6702,6,
58,29,0,172070,6701,6,
68,70,50000,471011,6500,6,
83,57,120000,119XXX,6500,6,
49,27,35000,414010,6601,6,
56,54,47000,414010,6300,6,
62,59,167000,119XXX,6602,6,
80,32,45000,113071,6602,6,
126,33,120000,119XXX,6400,6,
84,33,123000,172070,6500,6,
65,33,0,119XXX,6500,6,
76,45,42000,1721YY,6602,6,
62,47,88000,475040,6602,6,
94,63,0,172051,6602,6,
89,49,0,119XXX,6500,6,
95,76,0,471011,3701,6,
58,33,51000,192040,6701,6,
181,62,0,172070,6701,6,
24,45,50000,119XXX,3701,6,
84,50,100000,471011,6602,6,
248,42,8000,49909X,6400,6,
68,37,110000,119XXX,6500,6,
69,63,120000,1721YY,6602,6,
90,53,170000,172070,6500,6,
68,55,0,471011,6602,6,
86,38,100000,1721YY,6602,6,
87,56,125000,1721YY,6601,6,
83,39,120000,119XXX,6300,6,
33,49,40000,49909X,6400,6,
95,23,10000,119XXX,6200,6,
82,31,0,119XXX,6300,6,
45,35,75000,414010,6200,6,
69,43,60000,119XXX,6300,6,
259,28,22500,119XXX,3702,6,
126,38,85000,1721YY,6602,6,
59,50,120000,119XXX,6500,6,
73,61,103000,119XXX,6602,6,
117,22,3700,1721YY,3702,6,
85,78,80000,49904X,6701,6,
199,58,76000,1721XX,6701,6,
81,36,100000,119XXX,6602,6,
71,44,80000,1721YY,3701,6,
87,56,100000,414010,6602,6,
56,65,0,119XXX,6500,6,
95,59,70000,518090,6701,6,
47,27,21600,47XXXX,6200,6,
79,43,95000,119XXX,6602,6,
89,58,150000,1721XX,3701,6,
112,53,40000,414010,6702,6,
79,52,70000,119XXX,6602,6,
88,34,125000,119041,6500,6,
92,33,110000,119XXX,6400,6,
115,60,0,119XXX,3702,6,
183,59,70000,4750YY,6200,6,
59,56,100000,119XXX,6300,6,
103,26,28000,471011,6300,6,
55,59,0,471011,6200,6,
76,46,90000,1721YY,6602,6,
76,45,103000,471011,6602,6,
66,38,7200,119XXX,6602,6,
116,57,31000,172070,3701,6,
23,57,110000,119XXX,6701,6,
40,66,0,119041,6602,6,
75,50,60000,414010,6701,6,
322,70,50000,414010,6200,6,
64,50,50000,471011,6701,6,
95,52,142000,172070,3701,6,
83,61,150000,1721YY,3702,6,
295,51,87000,119XXX,6602,6,
95,53,116000,119XXX,6701,6,
69,69,48500,414010,6601,6,
69,47,80000,414010,6200,6,
198,42,130000,119XXX,6602,6,
73,66,75000,514041,6500,6,
66,40,0,414010,6400,6,
58,67,0,119XXX,6500,6,
87,53,72000,119XXX,6601,6,
95,51,123000,1721YY,3702,6,
51,54,103000,119XXX,6200,6,
80,66,67000,1721YY,6702,6,
89,63,35500,119XXX,6702,6,
52,44,89000,119XXX,3702,6,
85,33,200000,471011,3701,6,
86,31,175000,414010,6602,6,
75,50,382000,119XXX,6200,6,
210,62,75000,119XXX,6602,6,
72,44,36500,49909X,6601,6,
64,36,130000,172070,6500,6,
63,50,200000,113051,6400,6,
54,36,0,414010,6400,6,
184,59,40000,414010,6400,6,
63,66,98000,1721YY,6702,6,
90,44,0,471011,3701,6,
272,50,30000,514041,3701,6,
78,30,0,119XXX,6400,6,
81,47,120000,119XXX,3701,6,
54,34,45000,119XXX,6200,6,
78,52,32000,475021,3701,6,
103,47,120000,119041,6601,6,
51,40,21300,119XXX,3702,6,
61,55,110000,1721YY,6200,6,
55,55,125000,119XXX,6500,6,
80,67,9000,119XXX,6601,6,
70,61,0,119041,6500,6,
82,55,30000,471011,3701,6,
94,21,13000,49904X,6400,6,
54,49,30000,119XXX,3702,6,
105,23,50000,172051,3702,6,
78,54,0,119XXX,6702,6,
65,54,3000,49909X,6300,6,
123,28,98000,475040,6602,6,
222,54,30000,119XXX,6300,6,
180,40,0,119XXX,6400,6,
68,45,50000,119XXX,6300,6,
90,49,180000,471011,6602,6,
62,36,32000,119XXX,6500,6,
119,55,51000,514041,6300,6,
70,49,70000,119XXX,6300,6,
97,58,112000,414010,6400,6,
89,69,0,414010,6601,6,
86,67,0,119XXX,6701,6,
77,39,150000,119XXX,3702,6,
110,32,15000,475021,6601,6,
38,32,89000,113071,3702,6,
72,36,55000,119XXX,6300,6,
243,36,100000,119XXX,6500,6,
55,58,3000,119XXX,6602,6,
167,43,0,119XXX,6602,6,
72,55,0,119XXX,6300,6,
118,25,43000,119XXX,6701,6,
84,75,25300,414010,3702,6,
73,59,114000,414010,6500,6,
69,53,177000,119XXX,6500,6,
84,40,115000,119XXX,6702,6,
89,40,60000,119XXX,6400,6,
87,57,19400,471011,6500,6,
136,46,178000,119XXX,6601,6,
55,47,26500,414010,6400,6,
90,52,15000,514041,3701,6,
61,69,0,119XXX,6500,6,
88,50,150000,119XXX,6400,6,
95,28,15000,414010,6602,6,
94,25,17500,414010,6602,6,
105,54,120000,119XXX,3702,6,
66,48,100000,414010,3701,6,
72,27,30000,119XXX,6200,6,
64,60,105000,119XXX,6200,6,
95,29,56000,119XXX,6200,6,
298,58,382000,119XXX,6500,6,
59,37,120000,119XXX,6500,6,
102,36,90000,1721YY,6702,6,
87,35,99000,172051,6702,6,
180,31,40000,414010,6300,6,
50,57,190000,172051,3702,6,
178,37,20000,119XXX,6701,6,
272,24,15000,471011,6602,6,
273,39,0,119XXX,6602,6,
53,81,0,119XXX,6701,6,
82,58,125000,414010,6500,6,
95,52,150000,119XXX,6602,6,
68,52,85000,471011,6702,6,
53,16,610,119XXX,6702,6,
82,59,60000,192040,3702,6,
56,77,63000,414010,3702,6,
91,53,140000,119XXX,6500,6,
101,61,109000,1940YY,6702,6,
94,44,140000,119XXX,6500,6,
229,48,66000,1721YY,6701,6,
71,56,72000,119XXX,6300,6,
86,64,60000,414010,3701,6,
96,31,108000,119XXX,6500,6,
60,51,45600,172070,6300,6,
86,46,0,49904X,6300,6,
69,34,145000,172051,6702,6,
256,39,0,414010,6702,6,
297,20,3600,414010,6702,6,
99,48,110000,172051,6500,6,
92,56,90000,414010,6702,6,
59,51,60000,471011,6601,6,
66,21,5000,113071,6400,6,
108,47,50000,119XXX,6601,6,
61,63,120000,119XXX,6702,6,
86,59,128000,119XXX,6602,6,
102,49,120000,119XXX,6602,6,
66,56,90000,119XXX,6702,6,
86,26,67000,113071,6602,6,
70,30,38900,414010,6702,6,
196,62,0,471011,3701,6,
55,42,93000,119XXX,6500,6,
186,45,382000,113051,3702,6,
194,51,0,119XXX,6300,6,
59,37,150000,414010,6400,6,
66,62,0,119XXX,6200,6,
283,47,4200,414010,6702,6,
88,44,16000,1721YY,6500,6,
51,52,0,1940YY,6601,6,
70,60,37500,119XXX,6701,6,
61,32,55000,119XXX,3702,6,
86,33,44000,519020,6200,6,
53,37,29000,113071,6200,6,
223,51,0,119XXX,6601,6,
74,47,39000,1940YY,6601,6,
70,30,60000,119XXX,6602,6,
22,62,55000,119XXX,6701,6,
41,64,0,119XXX,3701,6,
16,67,0,471011,6701,6,
56,29,73000,172051,6701,6,
73,25,36000,514041,6701,6,
93,67,98000,414010,6702,6,
74,60,14000,113051,6601,6,
70,49,43000,47XXXX,6601,6,
79,47,80000,119XXX,6500,6,
315,37,31900,119XXX,6702,6,
335,29,0,471011,6300,6,
55,40,24000,119XXX,6602,6,
77,34,50000,414010,6701,6,
207,43,0,119XXX,6601,6,
211,58,200000,119XXX,6500,6,
78,28,0,49909X,6400,6,
124,42,50000,414010,6200,6,
57,56,0,119XXX,6701,6,
85,77,0,414010,3701,6,
107,78,0,414010,3701,6,
125,41,106000,119XXX,3701,6,
241,20,0,414010,6702,6,
89,67,114000,119041,6602,6,
85,33,0,514041,6701,6,
86,32,6000,49909X,6701,6,
70,39,11000,1721YY,6701,6,
66,51,86000,119XXX,6500,6,
91,48,20000,172070,6701,6,
61,51,30000,514041,6701,6,
93,53,142000,119041,6400,6,
70,63,0,1721YY,6400,6,
84,55,135000,119XXX,6602,6,
87,61,0,119XXX,6500,6,
82,38,200000,414010,6602,6,
93,39,55000,119XXX,3702,6,
93,51,52000,119XXX,3702,6,
80,56,0,119XXX,6300,6,
56,57,6500,414010,3701,6,
82,52,0,414010,6702,6,
67,62,98000,1721YY,6701,6,
139,23,0,471011,3702,6,
59,31,40000,472211,6601,6,
63,28,0,414010,6601,6,
89,48,195000,119041,6702,6,
68,49,180000,1721XX,3701,6,
55,43,200000,119XXX,6602,6,
77,37,40000,49904X,6702,6,
90,57,38000,414010,3701,6,
37,53,122000,172141,6602,6,
87,61,0,119XXX,6601,6,
60,61,51000,172051,6300,6,
80,52,50000,1721YY,3702,6,
93,54,97000,1721YY,6602,6,
118,62,100000,172051,6300,6,
55,41,17000,119XXX,6500,6,
137,22,10000,119XXX,3702,6,
127,68,0,49904X,6702,6,
82,50,52000,119XXX,3701,6,
76,30,14000,172070,6602,6,
74,36,150000,1721YY,6702,6,
200,48,75000,1721YY,6602,6,
83,57,382000,119XXX,6602,6,
167,29,14400,414010,3701,6,
167,23,35000,471011,6601,6,
67,40,71000,1721YY,3702,6,
105,72,0,119XXX,3701,6,
67,54,48000,119XXX,6300,6,
63,49,0,471011,6602,6,
74,41,80000,471011,6602,6,
56,46,184000,119XXX,6702,6,
94,53,32000,471011,3701,6,
121,33,100000,119XXX,6602,6,
59,45,0,514041,6300,6,
69,32,35000,414010,6702,6,
81,48,0,471011,6400,6,
87,72,0,514041,6300,6,
88,64,0,514041,6602,6,
93,34,56000,1721YY,6500,6,
138,32,0,119XXX,6500,6,
152,45,130000,119041,6200,6,
61,32,138000,172070,6701,6,
50,40,70000,119XXX,6602,6,
60,48,55000,113051,3702,6,
89,49,30000,49904X,6500,6,
82,56,91000,172141,6701,6,
163,24,0,471011,6300,6,
81,61,183000,119041,6602,6,
69,48,121000,119XXX,6702,6,
106,33,150000,414010,6500,6,
272,61,91000,119041,6701,6,
93,54,100000,119XXX,6500,6,
97,40,85000,519010,3701,6,
58,36,0,414010,6702,6,
83,27,72000,172141,3701,6,
73,60,97000,1721YY,6200,6,
100,65,0,472211,6500,6,
58,31,70000,414010,6702,6,
85,32,49000,471011,3701,6,
98,58,24800,119XXX,6601,6,
