PWGTP,AGEP,WAGP,SOCP,PUMA,ST,
64,50,403000,119XXX,11106,6,
33,57,59000,119XXX,11106,6,
142,46,126000,119041,11106,6,
50,42,60000,119XXX,7902,6,
37,53,59000,113071,11103,6,
62,85,20900,471011,11104,6,
61,63,0,4990XX,11103,6,
203,54,70000,172070,7901,6,
61,56,200000,119XXX,11106,6,
111,59,46000,113071,7902,6,
73,59,90000,119XXX,11103,6,
83,55,0,471011,8301,6,
33,33,45000,471011,11106,6,
41,40,122000,172070,8303,6,
78,54,68000,471011,11102,6,
70,64,190,119XXX,8303,6,
123,58,94000,471011,8301,6,
85,38,44000,119XXX,11106,6,
118,21,10000,519020,11106,6,
67,63,150000,119XXX,11101,6,
136,47,62000,172051,7901,6,
107,55,200000,119XXX,11106,6,
381,57,100000,414010,11105,6,
45,57,145000,471011,11101,6,
121,50,24000,119XXX,7901,6,
121,39,0,471011,11104,6,
80,46,190000,1721YY,11102,6,
57,68,0,475021,8302,6,
294,68,25000,119XXX,8303,6,
65,65,42000,119XXX,7901,6,
63,35,70000,119XXX,11101,6,
66,35,65000,119XXX,11101,6,
130,48,150000,119XXX,11102,6,
129,57,165000,119XXX,11104,6,
167,26,30000,119XXX,7901,6,
65,48,88000,471011,8302,6,
56,36,26500,119XXX,11105,6,
127,35,38000,471011,11104,6,
9,42,90000,119XXX,11105,6,
175,45,0,119XXX,11102,6,
126,23,50000,4990XX,8303,6,
32,45,125000,172051,11103,6,
119,60,44000,47XXXX,11106,6,
33,56,60000,414010,11106,6,
25,53,33000,119XXX,8302,6,
99,34,50000,4750XX,11104,6,
39,31,65000,1721YY,7901,6,
74,53,73000,471011,8303,6,
118,51,118000,172070,7901,6,
107,67,0,119XXX,11104,6,
400,39,0,414010,7901,6,
62,51,140000,1940XX,8303,6,
76,68,0,49904X,11106,6,
62,49,20000,172051,8303,6,
86,64,78000,172070,8302,6,
101,74,0,414010,8302,6,
36,42,129000,471011,11104,6,
17,60,0,119XXX,11103,6,
312,25,31200,414010,11104,6,
50,48,75000,119XXX,8301,6,
126,38,31200,514041,7902,6,
280,27,4800,119XXX,11106,6,
35,41,38400,49904X,11103,6,
65,32,115000,113051,11101,6,
400,23,60000,119XXX,7901,6,
103,40,0,119XXX,8303,6,
39,42,63000,4990XX,11104,6,
87,54,127000,119041,11106,6,
64,23,12500,119XXX,11104,6,
44,43,86000,49904X,8302,6,
9,20,2500,414010,8303,6,
142,25,40000,47XXXX,11103,6,
153,22,40000,47XXXX,11103,6,
59,43,62000,172051,11104,6,
25,67,0,119041,8302,6,
85,52,240000,119XXX,11102,6,
63,64,0,113051,8301,6,
65,58,73000,119XXX,11101,6,
81,64,30000,414010,11104,6,
138,22,20000,172051,8303,6,
78,68,0,414010,7901,6,
130,46,109000,414010,11102,6,
71,63,100000,119XXX,8303,6,
107,46,80000,119XXX,11105,6,
83,30,96000,414010,8303,6,
48,52,210000,119XXX,11106,6,
81,37,0,119XXX,11102,6,
54,58,73000,119041,7901,6,
100,71,0,471011,8302,6,
200,41,165000,119041,8303,6,
57,51,110000,471011,11102,6,
59,40,120000,119XXX,11104,6,
120,47,180000,119041,11102,6,
112,75,0,119XXX,8303,6,
41,34,84000,119XXX,11105,6,
34,38,88000,1721YY,11106,6,
59,48,120000,119041,8303,6,
13,52,56000,472211,8302,6,
9,60,0,119XXX,11103,6,
