PWGTP,AGEP,WAGP,SOCP,PUMA,ST,
74,54,12000,471011,6200,6,
96,52,113000,1721YY,6602,6,
157,44,43000,471011,6200,6,
98,48,0,471011,3701,6,
100,36,70000,471011,3701,6,
89,45,29000,414010,6602,6,
63,49,0,414010,6602,6,
81,46,50000,514041,6400,6,
78,70,24000,49909X,6300,6,
70,52,110000,1721YY,6602,6,
84,51,110000,172070,6602,6,
16,25,90000,414010,6601,6,
64,44,30000,4750XX,6601,6,
29,32,108000,471011,6701,6,
67,57,80000,113051,6702,6,
109,77,69000,414010,6602,6,
58,30,1000,1940XX,6702,6,
90,64,53000,414010,6702,6,
88,46,56000,1940XX,6300,6,
177,59,79000,113071,3701,6,
70,84,461000,1721YY,3702,6,
71,51,150000,172051,6500,6,
54,50,70000,172141,6602,6,
89,45,126000,119041,6602,6,
112,37,69000,471011,3702,6,
80,44,34000,471011,6701,6,
49,39,70000,1721YY,6200,6,
152,41,53000,49909X,6200,6,
88,65,0,172051,6601,6,
71,42,32000,471011,6701,6,
76,17,0,414010,3702,6,
158,24,0,414010,6200,6,
186,26,0,414010,6200,6,
86,54,52000,471011,6300,6,
86,52,62000,49909X,6300,6,
62,41,120000,172070,6602,6,
77,54,120000,514041,3702,6,
88,64,159000,192040,6701,6,
103,45,2200,414010,6200,6,
197,54,25000,414010,3701,6,
69,46,0,471011,6500,6,
79,46,61000,49909X,6602,6,
78,57,63000,49904X,3701,6,
206,45,65000,414010,6400,6,
101,34,32000,414010,3701,6,
90,54,84000,1721YY,6602,6,
70,36,43000,514041,3702,6,
81,47,0,49909X,6300,6,
86,56,80000,192040,6702,6,
62,45,73000,172141,6702,6,
59,24,44900,414010,6400,6,
84,51,55000,414010,6602,6,
80,26,75000,1721YY,6500,6,
72,47,0,49909X,6500,6,
112,20,5600,414010,6601,6,
171,30,0,471011,6702,6,
62,22,4400,414010,6701,6,
97,36,36000,414010,6300,6,
89,53,100000,1721YY,6702,6,
235,26,12000,172141,6200,6,
90,47,65000,113071,6601,6,
57,30,55000,49904X,6300,6,
87,55,139000,119041,6602,6,
173,21,25000,113051,6701,6,
64,58,90000,471011,6702,6,
113,45,60000,49909X,6200,6,
103,31,60000,414010,3702,6,
65,55,122000,172141,6602,6,
87,65,0,172070,6702,6,
60,41,24000,471011,6500,6,
67,50,76000,414010,6500,6,
96,45,56000,514041,3701,6,
76,46,0,49904X,3702,6,
73,27,20000,414010,6701,6,
70,50,74000,471011,6400,6,
115,21,18000,514041,3702,6,
71,42,0,471011,3702,6,
87,31,120000,172051,6602,6,
619,27,38000,471011,3702,6,
463,23,38000,471011,3702,6,
69,55,141000,113051,3702,6,
60,35,124000,172070,6500,6,
105,23,50000,414010,6601,6,
67,61,82000,1940XX,6300,6,
68,51,82000,172070,6601,6,
206,48,90000,414010,6500,6,
60,49,165000,119041,6701,6,
87,68,120000,172070,6702,6,
84,28,150,1940XX,6701,6,
