PWGTP,AGEP,WAGP,SOCP,PUMA,ST,
13,69,0,471011,11106,6,
43,47,70000,113071,7901,6,
29,26,40000,172051,7901,6,
16,43,100000,1191XX,11102,6,
4,62,175000,1191XX,8302,6,
19,20,1600,1940YY,8303,6,
5,20,5000,1940YY,8303,6,
23,41,42000,414010,8303,6,
14,52,129000,1721YY,11106,6,
18,19,1100,414010,11106,6,
2,52,28000,1191XX,11105,6,
14,61,138000,414010,11102,6,
7,77,0,1191XX,11106,6,
31,59,165000,1721YY,11106,6,
17,45,0,1191XX,11106,6,
11,53,77000,1721YY,11101,6,
22,61,0,1191XX,11102,6,
11,52,0,113071,7901,6,
15,57,100000,1191XX,11102,6,
13,65,0,1191XX,11106,6,
15,48,95000,414010,11104,6,
12,76,0,1191XX,11104,6,
11,27,20000,519010,8301,6,
13,52,65000,1191XX,11102,6,
24,37,0,1191XX,11104,6,
20,67,160000,1191XX,11101,6,
30,66,0,1721YY,8303,6,
28,36,0,471011,8302,6,
9,26,57000,1721YY,7901,6,
8,60,52000,113051,8302,6,
23,58,76000,471011,7901,6,
23,63,0,1191XX,8303,6,
23,62,0,471011,8302,6,
14,67,0,1721YY,11102,6,
11,52,80000,414010,11101,6,
12,59,0,1191XX,11106,6,
7,48,35000,1721YY,11103,6,
12,53,10000,414010,11101,6,
8,50,76000,1191XX,11106,6,
7,54,100000,1191XX,11101,6,
12,51,53000,414010,11101,6,
22,32,30000,1191XX,8303,6,
13,33,105000,172070,8303,6,
12,30,60000,172141,8301,6,
22,73,0,19204X,11106,6,
25,36,65000,514041,8302,6,
23,22,500,1191XX,7901,6,
15,69,40000,1191XX,7902,6,
24,68,0,1191XX,11104,6,
37,63,30000,1191XX,11106,6,
52,42,45100,471011,8303,6,
14,57,150000,172051,7901,6,
10,56,504000,1191XX,11102,6,
21,53,90000,1191XX,11101,6,
40,45,45000,1721YY,11101,6,
16,42,92000,1191XX,11104,6,
22,58,95000,471011,11106,6,
7,53,150000,414010,11101,6,
27,61,130000,1721YY,11102,6,
25,44,24000,1191XX,11102,6,
14,43,0,471011,8303,6,
9,60,36000,1191XX,8301,6,
18,52,51000,49904X,11103,6,
8,51,250000,1191XX,11102,6,
83,23,15600,519020,11103,6,
14,34,110000,1191XX,11102,6,
12,56,132000,172070,11106,6,
24,46,90000,1721YY,11106,6,
71,20,2800,471011,7901,6,
47,30,48000,414010,11101,6,
22,48,46000,1191XX,11105,6,
23,54,170000,471011,7902,6,
21,25,50000,172070,8303,6,
15,51,85000,1191XX,8301,6,
