PWGTP,AGEP,WAGP,PWGTP,SOCP,PUMA,ST,
86,42,82000,86,172051,6601,6,
85,22,0,85,172051,3702,6,
242,26,6000,242,414010,6601,6,
157,23,55000,157,4750XX,6601,6,
106,61,112000,106,1721XX,6300,6,
74,63,0,74,414010,6702,6,
43,49,0,43,49909X,6601,6,
92,65,15000,92,113071,6601,6,
72,39,60000,72,471011,6602,6,
72,28,22000,72,472211,6602,6,
73,48,15000,73,414010,6702,6,
59,57,85000,59,119041,6702,6,
67,31,75000,67,192040,6200,6,
80,53,120000,80,119041,6602,6,
66,52,110000,66,471011,6400,6,
102,64,68000,102,1721YY,6702,6,
76,34,30000,76,414010,6300,6,
73,65,33100,73,119041,6701,6,
88,58,150000,88,172051,6400,6,
60,64,70000,60,113071,6200,6,
94,64,5000,94,472111,6701,6,
69,57,90000,69,414010,6702,6,
81,62,0,81,113051,6500,6,
48,50,83000,48,172051,6701,6,
61,60,50000,61,192040,6500,6,
94,43,0,94,414010,6701,6,
412,22,20200,412,1940XX,6702,6,
83,54,90000,83,1721YY,6300,6,
66,48,30000,66,49909X,6300,6,
64,31,95000,64,1721YY,6300,6,
72,65,85000,72,172141,6701,6,
76,48,29000,76,1721YY,6702,6,
117,65,50000,117,471011,3701,6,
64,43,60000,64,1721YY,6300,6,
64,53,110000,64,471011,6500,6,
50,36,0,50,172051,6500,6,
198,49,80000,198,471011,6702,6,
97,49,120000,97,1721YY,6400,6,
66,58,0,66,471011,3701,6,
68,62,72000,68,471011,6200,6,
104,48,50000,104,49904X,6602,6,
61,53,27200,61,49904X,6200,6,
89,57,100000,89,1721YY,6602,6,
99,58,0,99,414010,6702,6,
116,23,30000,116,519020,6602,6,
112,44,94000,112,471011,3701,6,
209,22,30000,209,472111,6701,6,
84,31,52000,84,1721YY,6400,6,
61,53,100000,61,518010,3702,6,
76,61,22500,76,471011,6601,6,
136,22,7000,136,172051,6200,6,
61,61,80000,61,172051,6300,6,
65,54,42000,65,472111,6500,6,
65,30,125000,65,172141,6702,6,
86,56,42000,86,49904X,3701,6,
86,49,75000,86,414010,6400,6,
98,73,0,98,1721YY,6200,6,
67,40,50000,67,414010,3702,6,
61,62,90000,61,172051,6701,6,
82,28,60000,82,1721YY,6701,6,
75,57,8400,75,471011,3701,6,
175,49,10100,175,1721YY,6300,6,
57,44,46000,57,514041,6400,6,
156,68,200000,156,414010,6602,6,
48,40,43000,48,471011,6300,6,
73,44,57000,73,49904X,6601,6,
175,46,25000,175,519010,6701,6,
63,48,404000,63,1721YY,6500,6,
67,57,52000,67,49909X,3701,6,
100,22,0,100,414010,3701,6,
60,37,0,60,519010,6701,6,
146,44,0,146,518010,6701,6,
56,35,48000,56,172141,6400,6,
84,57,25000,84,471011,3702,6,
124,50,40000,124,172141,6500,6,
99,35,12800,99,471011,6200,6,
76,21,0,76,472111,6500,6,
77,53,70000,77,49904X,6200,6,
204,38,14400,204,49904X,6200,6,
88,28,3000,88,472111,6602,6,
54,46,404000,54,414010,6400,6,
20,51,0,20,519010,6701,6,
25,48,0,25,471011,6701,6,
208,48,100000,208,518010,6500,6,
89,60,65000,89,471011,6602,6,
142,37,85000,142,414010,6400,6,
70,36,98000,70,414010,6400,6,
57,40,0,57,414010,6400,6,
55,61,0,55,471011,6701,6,
86,47,150000,86,518010,6500,6,
79,61,0,79,472111,3701,6,
229,58,22000,229,475031,6601,6,
92,51,82000,92,113051,6602,6,
58,51,0,58,472211,6300,6,
173,34,56000,173,1940XX,6602,6,
210,35,33000,210,49904X,3701,6,
203,53,60000,203,1721XX,6300,6,
49,34,80000,49,519010,3701,6,
65,36,78000,65,113051,3701,6,
80,21,30000,80,4750XX,6601,6,
84,54,104000,84,472111,3702,6,
130,44,7500,130,1721YY,6702,6,
107,47,0,107,49904X,6400,6,
60,74,15000,60,414010,6601,6,
187,19,6000,187,414010,6200,6,
92,42,116000,92,1721YY,6602,6,
247,22,115000,247,475040,6701,6,
61,52,95000,61,1721YY,6701,6,
65,56,240000,65,172051,3702,6,
75,28,45100,75,414010,6702,6,
105,21,11500,105,49909X,6500,6,
106,33,48000,106,192040,6702,6,
88,27,45000,88,172051,3702,6,
53,83,0,53,1721YY,6500,6,
103,45,143000,103,1721YY,6702,6,
41,31,78000,41,172051,6701,6,
52,41,90000,52,414010,6400,6,
66,73,26000,66,1721YY,3702,6,
73,37,5000,73,471011,6601,6,
187,31,48000,187,414010,6702,6,
206,37,0,206,471011,6300,6,
78,59,34000,78,471011,3702,6,
205,37,95000,205,414010,6300,6,
93,42,0,93,414010,6500,6,
51,30,100000,51,414010,6702,6,
63,58,20000,63,49904X,6400,6,
172,66,80000,172,471011,6602,6,
66,53,8200,66,119041,6300,6,
83,26,8000,83,49909X,6300,6,
85,53,0,85,414010,6500,6,
220,43,42000,220,414010,6300,6,
210,49,100000,210,192040,6300,6,
82,61,139000,82,1721YY,3701,6,
67,65,0,67,414010,6400,6,
84,45,70000,84,414010,3702,6,
65,34,110000,65,1721YY,3702,6,
61,86,0,61,471011,6701,6,
124,57,90000,124,49909X,6602,6,
42,30,72000,42,414010,3701,6,
342,39,25000,342,414010,3701,6,
81,46,102000,81,414010,6400,6,
46,33,30000,46,471011,6702,6,
168,43,20000,168,4750XX,6601,6,
54,38,120000,54,471011,6300,6,
111,60,0,111,1721YY,6200,6,
148,22,15000,148,1721YY,3702,6,
80,44,150000,80,172051,6601,6,
55,41,60000,55,1721YY,6702,6,
54,32,0,54,49909X,6702,6,
108,23,0,108,1721YY,6702,6,
46,45,0,46,414010,6601,6,
58,36,800,58,113071,6200,6,
44,32,9000,44,519020,6701,6,
85,60,0,85,113071,6602,6,
79,49,82000,79,172051,6702,6,
25,16,300,25,414010,6701,6,
71,32,90000,71,471011,6602,6,
125,26,40700,125,1940XX,3701,6,
58,36,102000,58,1721YY,6602,6,
257,50,83000,257,1721YY,6702,6,
60,30,45000,60,49909X,6400,6,
42,58,0,42,471011,6601,6,
234,46,2000,234,472111,6200,6,
34,70,0,34,414010,6602,6,
64,52,80000,64,1721YY,6500,6,
212,47,100000,212,414010,6602,6,
61,33,0,61,471011,6701,6,
49,61,60000,49,49909X,6701,6,
200,38,23400,200,519020,6200,6,
64,37,90000,64,119041,6300,6,
81,47,150000,81,172051,3701,6,
82,45,60000,82,472111,6602,6,
50,42,40000,50,49904X,6601,6,
86,25,63000,86,172051,6602,6,
127,41,12000,127,519010,6701,6,
64,48,62000,64,113051,6701,6,
146,58,34600,146,1940XX,3701,6,
71,69,0,71,172051,3702,6,
108,52,38000,108,49909X,6702,6,
65,41,121000,65,172051,6601,6,
47,22,11900,47,472111,6701,6,
76,62,0,76,414010,3701,6,
73,55,98000,73,1721YY,6601,6,
53,32,150000,53,518010,6701,6,
93,30,100000,93,1721YY,6602,6,
86,65,1000,86,414010,3701,6,
175,38,60000,175,472111,6400,6,
70,24,40000,70,472111,6200,6,
79,31,8000,79,49909X,6200,6,
55,48,51000,55,113071,6701,6,
67,62,25000,67,414010,3701,6,
109,58,58000,109,113071,6601,6,
57,60,120000,57,414010,6400,6,
88,45,60000,88,414010,3701,6,
45,40,106000,45,1721YY,6500,6,
63,49,25000,63,514041,6500,6,
86,40,45000,86,471011,6702,6,
178,62,0,178,414010,6702,6,
98,53,140000,98,414010,6400,6,
65,58,0,65,1721YY,6200,6,
88,28,48000,88,414010,6300,6,
96,53,39000,96,472211,6702,6,
80,67,150000,80,1721YY,6602,6,
72,22,8000,72,172051,3702,6,
68,23,2800,68,1721YY,3702,6,
62,60,0,62,414010,6702,6,
70,50,0,70,471011,6400,6,
83,58,21000,83,414010,3701,6,
68,47,95000,68,1721YY,6400,6,
82,59,0,82,471011,3701,6,
83,43,35000,83,471011,6602,6,
56,42,112000,56,1721YY,6500,6,
69,40,0,69,471011,6200,6,
81,58,47000,81,172141,6602,6,
75,41,0,75,414010,6300,6,
99,23,58000,99,1721YY,6200,6,
161,39,8500,161,414010,6400,6,
148,22,18000,148,472111,6602,6,
95,47,110000,95,172141,6601,6,
132,26,24000,132,49909X,6500,6,
103,49,113000,103,119041,3702,6,
176,37,34000,176,113071,6400,6,
75,62,0,75,113071,6200,6,
109,70,1500,109,172051,6500,6
