PWGTP,AGEP,WAGP,SOCP,PUMA,ST,
16,40,45000,414010,11102,6,
38,30,70000,475040,11105,6,
13,37,58000,172051,7902,6,
13,22,7000,1721YY,8303,6,
21,67,0,1721YY,11101,6,
39,46,67000,414010,11101,6,
12,38,72000,519010,11102,6,
40,46,70000,4990XX,11105,6,
13,32,206000,414010,8301,6,
9,38,0,414010,11106,6,
29,55,54000,113051,11101,6,
13,59,60000,514041,8302,6,
10,34,70000,472211,8302,6,
16,50,61000,514041,11101,6,
39,51,100000,49904X,11106,6,
9,69,0,414010,11102,6,
49,37,20000,414010,7901,6,
20,57,193000,1721YY,11102,6,
13,34,100000,414010,7901,6,
25,60,0,471011,8303,6,
54,21,2000,1940YY,7901,6,
13,54,240000,172070,11102,6,
15,55,91000,414010,11104,6,
17,40,2400,414010,8302,6,
13,54,80000,414010,8301,6,
8,39,60000,113051,11103,6,
7,56,120000,1721YY,11102,6,
10,29,28000,1721YY,8303,6,
7,61,0,49904X,11105,6,
31,50,11000,4990XX,8301,6,
9,50,96000,471011,8302,6,
25,65,0,4990XX,11104,6,
15,55,0,414010,8303,6,
55,49,45000,49904X,8302,6,
16,77,0,414010,11105,6,
15,55,0,514041,11102,6,
39,50,0,471011,11105,6,
52,27,0,471011,11105,6,
38,39,0,471011,8302,6,
12,27,84000,49904X,11103,6,
31,70,0,519010,7902,6,
25,51,225000,119041,8303,6,
32,22,40000,4990XX,11103,6,
16,52,118000,172070,8301,6,
4,56,80000,471011,7902,6,
27,74,0,172141,11103,6,
15,63,60000,414010,11104,6,
15,31,50000,1940YY,11103,6,
11,39,0,519020,11103,6,
22,50,0,471011,11103,6,
13,60,0,471011,7901,6,
13,52,170000,1940XX,8303,6,
15,67,21400,514041,11102,6,
12,69,0,1721YY,11105,6,
26,35,65000,172070,7901,6,
13,45,2900,4750YY,11101,6,
15,37,130000,113051,8301,6,
22,27,30000,1721YY,11106,6,
25,44,50000,471011,7902,6,
12,87,0,519010,7901,6,
16,48,63000,471011,8302,6,
23,50,185000,519010,7902,6,
27,18,0,471011,8303,6,
13,40,72000,471011,11101,6,
14,66,12000,172051,8303,6,
9,34,35000,4750XX,11103,6,
19,35,45000,471011,11104,6,
13,59,0,4990XX,11102,6,
22,55,110000,414010,7901,6,
14,45,50000,414010,8303,6,
40,40,42500,414010,11101,6,
54,32,35000,514041,11104,6,
4,53,98000,119041,8302,6,
12,26,8000,414010,7902,6,
10,32,24000,414010,11104,6,
14,50,62000,172070,8302,6,
67,18,30000,471011,11103,6,
21,22,9000,172070,7901,6,
9,38,87000,1721YY,11104,6,
14,58,7000,113071,7901,6,
22,64,0,471011,11102,6,
7,47,82000,1721YY,11101,6,
14,40,90000,113051,11101,6,
9,30,54000,4750YY,7902,6,
34,29,50000,414010,8303,6,
27,37,63000,113051,11106,6,
11,50,130000,471011,8302,6,
15,55,176000,113051,11105,6,
17,49,50000,414010,11106,6,
21,33,30700,514041,11104,6,
12,48,50000,514041,11106,6,
8,48,40000,414010,8301,6,
9,51,0,471011,11103,6,
8,55,48000,414010,11101,6,
14,57,180000,172051,11102,6,
22,51,167000,1721YY,11102,6,
16,38,98000,471011,8303,6,
60,29,30000,471011,11104,6,
14,39,56000,172141,8301,6,
22,45,140000,471011,7902,6,
15,28,80000,172141,8303,6,
37,28,28000,472211,8302,6,
33,31,50000,113071,8301,6,
23,43,40000,471011,11102,6,
13,55,10000,414010,8302,6,
22,53,105000,414010,11102,6,
23,40,100000,49904X,11103,6,
12,62,120000,471011,7902,6,
14,74,65000,414010,11102,6,
12,61,35300,172141,7902,6,
52,25,55000,471011,8301,6,
12,31,90000,119041,8303,6,
24,49,250000,414010,11102,6,
16,56,90000,414010,11102,6,
43,68,125000,113071,7901,6,
41,58,30000,471011,11105,6,
20,49,120000,414010,11102,6,
20,26,67000,172141,7901,6,
14,54,105000,172051,7901,6,
26,46,99000,1721YY,11104,6,
11,39,29200,414010,8301,6,
8,63,200000,1721YY,11105,6,
16,27,68000,172070,11105,6,
19,66,80000,4990XX,11102,6,
14,63,45000,514041,8302,6,
21,38,95000,1721YY,11103,6,
20,64,110000,414010,11103,6,
8,56,0,113051,11102,6,
14,43,120000,1721YY,11106,6,
21,57,78000,514041,7901,6,
21,46,100000,172051,11102,6,
25,39,83000,113051,11105,6,
23,53,0,414010,11106,6,
12,65,0,518090,11101,6,
14,27,41600,514041,11101,6,
19,61,165000,414010,7902,6,
26,28,90000,1721YY,11104,6,
10,59,0,4990XX,8303,6,
14,22,4000,1721YY,7901,6,
6,60,455000,119041,11106,6,
20,48,65000,414010,11104,6,
68,39,50000,1721YY,11104,6,
25,36,90000,471011,7901,6,
6,58,52000,518090,7902,6,
16,51,195000,1721YY,11102,6,
24,37,109000,414010,11102,6,
13,37,72000,172051,7901,6,
20,55,0,1721XX,11102,6,
23,53,0,514041,8302,6,
26,44,47800,471011,8302,6,
31,46,48000,518090,11105,6,
36,28,30000,414010,11101,6,
16,37,69000,514041,7902,6,
43,29,22000,113071,8302,6,
13,65,50000,172070,8303,6,
24,48,44000,514041,8301,6,
20,45,36000,4990XX,11104,6,
17,50,48000,414010,8301,6,
13,44,22000,414010,11101,6,
10,34,114000,414010,8303,6,
25,43,130000,414010,11103,6,
14,53,116000,1721YY,11103,6,
16,28,0,49904X,11104,6,
13,61,67000,414010,11104,6,
15,60,100000,1721YY,11103,6,
25,22,20000,414010,11106,6,
16,54,26000,471011,8301,6,
11,55,0,414010,11106,6,
25,29,100000,172070,8302,6,
13,30,64000,172070,11104,6,
8,47,110000,1721YY,11103,6,
8,79,0,471011,11105,6,
10,56,120000,1721YY,11102,6,
13,49,80000,471011,11106,6,
26,52,115000,1721YY,11106,6,
6,21,4700,1940YY,7901,6,
25,61,0,1721YY,8303,6,
11,18,2700,519020,7901,6,
12,33,150000,414010,11106,6,
37,27,75000,172051,11102,6,
34,21,0,4990XX,11106,6,
6,34,70000,471011,11106,6,
12,94,56000,414010,8303,6,
11,26,119000,1721XX,8302,6,
15,72,0,119041,7901,6,
10,35,0,471011,8302,6,
40,36,62000,414010,8301,6,
24,25,90000,172070,11102,6,
21,49,118000,1721YY,11102,6,
12,48,125000,4990XX,11101,6,
12,55,90000,172051,11106,6,
21,51,105000,113051,11105,6,
18,34,20000,414010,11101,6,
20,50,140000,172051,11103,6,
12,60,72000,172051,11101,6,
24,74,55000,514041,8301,6,
14,59,210000,1721XX,8301,6,
15,52,83000,119041,7902,6,
13,62,130000,1721YY,11102,6,
16,34,23000,514041,11103,6,
13,63,0,1940YY,11105,6,
7,67,121000,471011,8303,6,
15,20,4100,414010,7901,6,
18,30,75000,172141,11106,6,
22,56,70000,471011,7902,6,
11,63,0,414010,7901,6,
13,72,0,414010,11102,6,
23,36,10000,472211,7902,6,
12,57,67000,414010,11104,6,
21,44,0,1721YY,11102,6,
9,56,175000,518010,7901,6,
17,53,40000,119041,7901,6,
9,19,500,1940YY,8303,6,
11,24,12000,172141,11101,6,
19,45,80000,414010,11104,6,
9,33,68000,113051,8302,6,
14,52,80000,519010,11106,6,
14,34,4400,414010,11106,6,
10,31,96000,119041,11101,6,
14,66,21000,472211,11105,6,
16,59,110000,119041,7901,6,
49,34,150000,172051,11102,6,
29,57,50000,519010,7902,6,
15,50,30000,471011,8301,6,
22,60,102000,172051,11104,6,
8,57,100000,471011,11106,6,
12,19,0,1721YY,7901,6,
22,69,210000,119041,8303,6,
15,48,0,471011,11105,6,
16,54,33000,514041,11103,6,
18,47,54000,414010,8301,6,
11,40,115000,113051,11102,6,
27,52,110000,1721YY,8303,6,
12,59,96000,414010,11102,6,
13,51,65000,414010,11101,6,
12,50,65000,414010,11101,6,
40,29,94000,414010,7902,6,
12,62,165000,1721YY,8303,6,
12,54,100000,113051,7901,6,
13,29,30000,4990XX,11104,6,
23,35,45000,4750YY,11105,6,
13,48,120000,414010,11101,6,
10,48,12500,414010,7902,6,
77,47,80000,471011,11105,6,
16,19,2000,514041,7901,6,
12,55,31000,414010,7901,6,
31,50,56000,514041,11106,6,
26,49,7400,113051,7902,6,
14,52,40000,471011,8301,6,
12,48,94000,172051,11101,6,
11,59,190000,172051,11104,6,
26,65,25000,414010,7901,6,
22,43,0,1721YY,11106,6,
15,30,2400,471011,11103,6,
23,20,7000,172051,7901,6,
2,40,79000,471011,8302,6,
14,23,60000,1940YY,8303,6,
12,57,87000,1940YY,11102,6,
44,48,70000,471011,11101,6,
8,40,130000,113051,11102,6,
30,26,15000,471011,11106,6,
10,53,130000,471011,11101,6,
10,60,30000,471011,11103,6,
14,25,38000,519010,7902,6,
24,63,48000,49904X,7902,6,
42,22,25000,113071,11101,6,
19,87,93000,172051,11104,6,
39,57,29900,414010,11105,6,
14,33,50000,471011,8303,6,
11,59,182000,471011,11106,6,
36,39,80000,1721YY,11102,6,
15,51,110000,172070,8302,6,
11,54,20000,1940YY,11106,6,
25,21,4000,1940YY,8303,6,
25,49,112000,113051,11104,6,
14,33,59000,49904X,11104,6,
23,57,132000,119041,11105,6,
11,58,0,172070,7901,6,
21,54,78000,172051,7902,6,
9,40,85000,471011,11104,6,
20,51,100000,414010,7901,6,
3,60,0,518090,8302,6,
9,44,250000,119041,11102,6,
19,30,4000,1940YY,11104,6,
18,27,30000,414010,11106,6,
11,43,86000,172070,8302,6,
16,63,240000,471011,8303,6,
14,55,0,414010,7901,6,
6,51,75000,113051,8302,6,
11,68,483000,1721YY,11104,6,
24,39,90000,113051,11106,6,
26,34,58000,1721YY,11101,6,
24,18,0,414010,8303,6,
52,38,31200,514041,11106,6,
3,33,32000,49904X,8302,6,
10,27,60000,414010,11105,6,
15,24,110000,172070,8303,6,
28,55,35000,414010,8303,6,
45,40,50000,472211,11105,6,
9,61,80000,414010,11104,6,
12,41,30000,113071,7901,6,
7,28,120000,119041,8303,6,
7,63,119000,1721YY,11102,6,
21,21,7400,1940YY,8303,6,
21,21,500,471011,8303,6,
12,30,70000,172141,7901,6,
18,64,30000,471011,11102,6,
18,68,0,471011,7902,6,
21,57,150000,414010,11102,6,
13,51,120000,172051,11104,6,
22,57,60000,4990XX,11106,6,
15,63,0,172051,7901,6,
33,56,80000,172070,8302,6,
30,55,14000,414010,8302,6,
10,53,67000,1940YY,11103,6,
15,61,0,471011,11102,6,
19,21,0,4990XX,11102,6,
9,19,800,1940YY,11106,6,
25,73,0,1721YY,11102,6,
14,35,30000,172051,11106,6,
34,36,77000,471011,8303,6,
23,69,40000,172070,7902,6,
3,48,50000,471011,11105,6,
11,45,175000,414010,11104,6,
14,49,89000,172051,11102,6,
8,27,45000,49904X,11106,6,
16,51,140000,119041,11101,6,
15,64,150000,1721YY,7901,6,
75,43,40000,4990XX,8303,6,
24,58,112000,1940YY,8303,6,
18,58,120000,1721YY,11106,6,
14,52,0,414010,7901,6,
16,30,83000,172141,11104,6,
34,47,0,414010,8303,6,
27,19,2000,514041,7901,6,
13,19,8100,1940YY,7901,6,
9,59,118000,1721YY,11101,6,
14,58,250000,172051,8303,6,
7,32,85000,1721YY,11104,6,
9,80,0,49904X,8303,6,
25,39,155000,119041,7901,6,
12,52,129000,1721YY,11106,6,
19,19,1100,414010,11106,6,
13,27,20000,519010,8301,6,
33,66,0,1721YY,8303,6,
26,36,0,471011,8302,6,
9,26,57000,1721YY,7901,6,
8,60,52000,113051,8302,6,
13,67,0,1721YY,11102,6,
7,48,35000,1721YY,11103,6,
18,53,10000,414010,11101,6,
16,33,105000,172070,8303,6,
39,45,45000,1721YY,11101,6,
7,53,150000,414010,11101,6,
25,61,130000,1721YY,11102,6,
17,52,51000,49904X,11103,6,
19,25,50000,172070,8303,6,
21,57,100000,414010,11101,6,
24,60,0,1721XX,11102,6,
