PWGTP,AGEP,WAGP,SOCP,PUMA,ST,
112,64,0,119041,6300,6,
84,56,50000,471011,3701,6,
71,39,71000,192040,6601,6,
141,70,0,113051,3701,6,
86,60,76000,172070,6400,6,
80,45,250000,471011,3701,6,
19,73,96000,519010,6701,6,
65,25,0,1940XX,6701,6,
70,55,448000,414010,6500,6,
37,65,95000,471011,6702,6,
68,49,85000,1940XX,6500,6,
214,35,26000,514041,6300,6,
277,36,95000,471011,3702,6,
63,49,32000,471011,6701,6,
84,20,100,49909X,6702,6,
78,29,22000,192040,6300,6,
66,51,63000,49909X,6702,6,
72,49,62000,172070,6702,6,
87,18,18000,49909X,6702,6,
84,59,0,471011,6601,6,
56,54,65000,471011,6400,6,
519,25,37000,414010,3701,6,
65,48,89000,172141,6701,6,
89,36,50000,172051,6200,6,
84,44,0,414010,6400,6,
68,40,70000,471011,6300,6,
73,34,6000,1940XX,6200,6,
66,46,29000,519010,6200,6,
85,40,140000,119041,6702,6,
57,39,91000,414010,3702,6,
70,59,58000,471011,6701,6,
172,37,90000,172070,6500,6,
71,58,69000,414010,6500,6,
58,35,45000,414010,6500,6,
51,78,0,471011,6702,6,
101,38,240000,414010,6500,6,
112,24,50000,414010,6500,6,
70,50,90000,471011,3701,6,
215,44,20000,471011,6701,6,
72,33,40000,471011,6701,6,
61,70,0,172051,6602,6,
202,48,90000,192040,6300,6,
56,39,130000,172070,6602,6,
63,19,13300,519020,6702,6,
233,20,3000,1940XX,6702,6,
219,40,55000,414010,6200,6,
91,61,0,514041,6400,6,
92,53,97000,519010,6400,6,
61,58,117000,414010,6602,6,
67,55,43000,471011,6701,6,
83,37,105000,414010,6602,6,
67,40,3000,414010,6602,6,
64,50,63000,414010,6602,6,
59,58,63000,519010,3702,6,
256,53,105000,172141,6200,6,
42,19,23900,514041,3701,6,
67,60,185000,172141,6500,6,
56,31,0,414010,6601,6,
75,38,32000,1940XX,6400,6,
63,63,96000,172141,3702,6,
59,47,85000,172141,6601,6,
69,61,160000,119041,6500,6,
55,65,0,172070,3701,6,
77,49,61000,414010,6300,6,
134,22,11000,172070,6702,6,
269,31,50000,414010,3702,6,
58,30,83000,1721YY,6500,6,
75,46,76000,471011,6200,6,
184,68,7800,471011,6701,6,
52,41,448000,414010,6400,6,
54,46,250000,414010,6400,6,
63,24,135000,414010,6601,6,
68,25,63000,172051,6602,6,
62,51,74000,471011,6300,6,
78,36,40000,172141,6601,6,
58,73,4800,1721YY,3702,6,
59,49,60000,414010,6300,6,
57,78,33400,414010,6500,6,
91,77,0,514041,3702,6,
53,46,100000,172051,6602,6,
99,44,60000,518090,6701,6,
201,19,0,475040,6702,6,
67,46,55000,4750XX,6701,6,
69,63,79000,172051,3702,6,
68,61,0,49909X,3702,6,
57,47,60000,113071,3701,6,
117,30,90000,414010,3702,6,
