PWGTP,AGEP,WAGP,SOCP,PUMA,ST,
58,52,60000,414010,11102,6,
33,69,42000,514041,11103,6,
63,46,50000,471011,11106,6,
49,49,0,471011,7902,6,
52,59,88000,1721YY,7901,6,
62,49,88000,1721YY,7901,6,
79,52,26000,471011,7901,6,
36,31,107000,172070,7901,6,
68,42,0,49904X,8301,6,
115,42,160000,172070,11102,6,
93,20,25000,414010,11101,6,
58,52,98000,119041,8301,6,
375,33,65000,514041,11106,6,
100,37,42000,1721YY,11105,6,
139,25,55000,519010,7901,6,
59,46,45300,172051,7901,6,
205,20,30000,519010,8302,6,
86,33,62000,172051,8301,6,
97,34,70000,172051,11105,6,
54,33,55000,113071,11101,6,
114,62,0,414010,11106,6,
90,48,55000,471011,11105,6,
89,39,80000,414010,8303,6,
58,59,0,172070,8303,6,
86,62,105000,172051,11103,6,
65,58,160000,1721YY,11102,6,
118,51,78000,414010,11104,6,
102,45,110000,1721YY,11103,6,
103,29,24000,519010,7902,6,
110,50,242000,1721XX,7901,6,
115,58,150000,471011,7901,6,
120,47,20000,4990XX,8301,6,
53,31,120000,119041,8303,6,
85,66,72000,471011,7902,6,
138,65,57000,4990XX,8302,6,
233,37,75000,172141,11101,6,
88,30,34000,472211,7902,6,
80,66,118000,1721YY,11103,6,
60,36,0,414010,11102,6,
41,30,110000,172070,8303,6,
67,71,0,1721YY,11101,6,
41,55,128000,1721YY,11106,6,
68,26,58000,414010,11106,6,
95,39,76000,192040,11105,6,
98,28,30000,4990XX,7901,6,
61,31,0,4990XX,11101,6,
113,42,27000,519020,11103,6,
101,26,58000,472211,11104,6,
56,78,0,119041,11102,6,
69,72,69000,1721YY,11101,6,
104,54,10000,4990XX,7901,6,
118,42,60000,471011,8303,6,
63,51,190000,1721YY,8303,6,
37,77,0,414010,11103,6,
169,52,49000,471011,7901,6,
68,58,110000,119041,8303,6,
78,70,94000,1721YY,11106,6,
55,56,300,49904X,8303,6,
41,18,0,471011,8303,6,
73,65,93000,1721YY,11106,6,
84,66,110000,172051,11106,6,
65,56,30000,414010,11102,6,
229,43,25000,49904X,8301,6,
61,48,77000,49904X,11106,6,
45,59,150000,1721YY,8302,6,
163,57,40000,414010,8302,6,
106,44,80000,514041,11104,6,
65,53,65000,414010,8301,6,
91,43,86000,172070,8302,6,
