PWGTP,AGEP,WAGP,SOCP,PUMA,ST,
88,64,1000,1721YY,6702,6,
49,52,17000,414010,3701,6,
82,37,57000,113051,3702,6,
65,34,65000,192040,6500,6,
62,43,121000,113051,6400,6,
81,46,24000,514041,6400,6,
67,56,0,471011,6300,6,
71,47,0,414010,6500,6,
61,54,98000,113051,6400,6,
81,36,93000,414010,6602,6,
147,20,3500,1940XX,6702,6,
75,51,96000,172070,6300,6,
249,34,80000,113051,6200,6,
67,28,25000,1940XX,6702,6,
73,56,0,414010,6400,6,
68,42,80000,1721YY,6400,6,
96,39,38000,113051,3701,6,
106,54,77000,471011,3701,6,
64,44,95000,414010,6400,6,
75,44,50000,1721YY,6500,6,
65,45,0,1721YY,6300,6,
90,34,37000,113051,3702,6,
57,26,27000,471011,6701,6,
85,45,95000,113051,6601,6,
62,41,48000,414010,6701,6,
72,26,53000,172051,6701,6,
122,41,0,172051,6601,6,
83,49,75000,172070,3702,6,
95,45,35000,514041,6702,6,
60,44,0,471011,6701,6,
89,40,35000,472211,6702,6,
80,47,120000,471011,6602,6,
73,60,50000,119041,3701,6,
78,51,160000,414010,6500,6,
80,45,4000,414010,6702,6,
92,61,97000,1721YY,6200,6,
198,25,65000,471011,6400,6,
59,61,79000,471011,6602,6,
72,46,75000,518010,6702,6,
239,20,8000,414010,3701,6,
68,57,94000,172070,3701,6,
78,49,55000,49909X,6701,6,
144,32,46000,414010,3701,6,
87,40,110000,119041,6602,6,
64,57,107000,414010,6400,6,
82,81,0,414010,6602,6,
85,49,43000,514041,6601,6,
89,74,5000,172070,3702,6,
270,25,47000,1721YY,6601,6,
59,45,51000,471011,6500,6,
70,46,50000,472211,6602,6,
100,51,44800,113051,3702,6,
48,56,68000,475040,6702,6,
59,37,38000,113071,6701,6,
21,77,13500,1721YY,6701,6,
103,46,0,471011,6400,6,
93,31,38000,49904X,6701,6,
87,31,30000,1721YY,6200,6,
76,41,115000,1721YY,6701,6,
83,33,85000,172141,6602,6,
58,25,5000,1940XX,6701,6,
72,60,100000,119041,6702,6,
62,38,110000,471011,6400,6,
65,37,100000,1721YY,6500,6,
99,50,100000,471011,3702,6,
56,48,75000,471011,6602,6,
60,41,40000,471011,6400,6,
90,52,65000,471011,6601,6,
61,25,48000,172141,6702,6,
69,58,416000,471011,6702,6,
66,56,60000,471011,6602,6,
82,34,85000,414010,6702,6,
67,49,100000,414010,3701,6,
111,31,75000,414010,6702,6,
75,44,82000,1721YY,6602,6,
74,53,105000,172070,6702,6,
81,35,0,471011,6702,6,
275,44,115000,1721YY,6602,6,
57,40,93000,414010,6400,6,
77,19,6000,414010,6400,6,
68,47,70000,414010,6500,6,
66,56,60000,172141,6300,6,
84,30,0,471011,6300,6,
56,44,30000,471011,6200,6,
246,27,92000,471011,6602,6,
65,41,60000,414010,6602,6,
92,85,0,49909X,3702,6,
89,25,38000,113071,6200,6,
62,46,95000,1721YY,6500,6,
94,44,85000,1721YY,6702,6,
93,53,24000,514041,6702,6,
82,58,85000,113051,6400,6,
92,50,105000,1721YY,6602,6,
62,46,95000,1721YY,6602,6,
57,37,65000,414010,6400,6,
51,52,140000,113051,3701,6,
86,46,50000,119041,6602,6,
78,42,200000,172070,6702,6,
90,34,60000,471011,6300,6,
43,63,100000,172051,6601,6,
55,27,8000,49909X,6601,6,
77,45,135000,119041,6701,6,
190,36,60000,172141,6601,6,
100,55,100000,172070,6601,6,
162,27,65000,172070,6702,6,
66,77,20400,472211,6500,6,
182,25,36000,172051,6701,6,
60,37,28000,472211,6400,6,
60,26,0,471011,3702,6,
86,41,190000,414010,6500,6,
70,36,85000,113051,6500,6,
44,43,23000,471011,6601,6,
70,47,115000,172141,6702,6,
275,66,0,471011,6602,6,
73,54,65000,1721YY,6702,6,
250,32,62000,471011,6300,6,
62,41,250,472211,6701,6,
59,70,800,192040,6500,6,
68,44,84000,1721YY,6200,6,
69,51,90000,414010,6701,6,
20,51,24000,471011,3701,6,
65,61,70000,414010,6601,6,
64,28,3000,471011,6702,6,
77,62,75000,471011,3701,6,
89,48,75000,172070,6500,6,
60,27,0,471011,3702,6,
69,56,29000,519010,6701,6,
85,36,14000,414010,6200,6,
102,35,85000,414010,6701,6,
70,36,89000,414010,3701,6,
285,29,36000,172051,6601,6,
58,44,52000,1721YY,6300,6,
69,32,35000,414010,6500,6,
219,39,70000,471011,3701,6,
106,30,21900,471011,3701,6,
89,49,50000,49904X,3701,6,
73,62,40000,119041,6400,6,
54,59,42000,414010,6300,6,
180,39,14100,471011,3702,6,
62,35,0,414010,6300,6,
72,44,115000,119041,6701,6,
62,35,65000,119041,6602,6,
96,40,67000,172051,6601,6,
92,60,0,119041,6400,6,
79,58,0,471011,6601,6,
76,19,10000,514041,6400,6,
77,29,50000,471011,3701,6,
73,20,20000,519010,6701,6,
51,60,25400,514041,6701,6,
72,46,70000,471011,6602,6,
62,37,75000,119041,6200,6,
70,59,81000,1940XX,6701,6,
67,21,8400,4750XX,3702,6,
49,43,75000,471011,6701,6,
62,60,90000,1721YY,6701,6,
49,59,90000,1721YY,6701,6,
57,42,90000,172070,6602,6,
68,60,72000,172070,6702,6,
113,24,55000,1940XX,6701,6,
39,22,14400,514041,6701,6,
72,56,48000,518090,3701,6,
68,50,75000,1721YY,6400,6,
86,49,110000,172051,6602,6,
65,32,56000,49904X,6500,6,
69,42,35000,49909X,6300,6,
61,31,89000,172070,6602,6,
128,22,4000,49904X,3701,6,
91,53,154000,172051,6602,6,
87,55,48000,471011,6602,6,
65,32,45000,514041,3701,6,
78,48,24000,414010,3702,6,
106,22,8000,414010,3702,6,
82,47,23500,113051,3702,6,
102,41,95000,113071,6701,6,
267,29,40000,471011,3701,6,
62,50,48000,172051,3701,6,
57,42,160000,471011,6602,6,
98,56,130000,172141,6602,6,
63,43,115000,119041,6602,6,
205,22,670,172070,6702,6,
125,32,80000,471011,6702,6,
86,47,115000,1721YY,6602,6,
70,52,40000,49904X,6200,6,
232,43,31200,49904X,6200,6,
261,23,21000,1940XX,6702,6,
69,47,60000,519010,6701,6,
69,43,0,472211,3701,6,
72,42,95000,1721YY,6500,6,
100,59,85000,414010,6400,6,
175,26,48000,113051,6500,6,
87,73,0,1721YY,6500,6,
92,57,120000,172070,3701,6,
82,21,10000,471011,6200,6,
74,54,20000,414010,6300,6,
60,47,70000,471011,6400,6,
59,36,130000,1721YY,6602,6,
