"AREA","AREA_TITLE","AREA_TYPE","PRIM_STATE","NAICS","NAICS_TITLE","I_GROUP","OWN_CODE","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","PCT_TOTAL","PCT_RPT","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY","label"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-3051","Industrial Production Managers","detailed","540","2.6","1.823","1.34",NA,NA,"57.94","120520","2.6","30.44","38.25","55.61","66.78","96.48","63310","79550","115680","138910","200670",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-3071","Transportation, Storage, and Distribution Managers","detailed","320","5.3","1.0760000000000001","1.05",NA,NA,"51.84","107820","2.2000000000000002","28.76","37.17","48.25","61.12","80.349999999999994","59810","77310","100360","127130","167130",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-9041","Architectural and Engineering Managers","detailed","500","8","1.677","1.26",NA,NA,"81.33","169160","1.8","48.13","61.65","78.19","97.46","#","100110","128230","162630","202730","#",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-9199","Managers, All Other","detailed","1360","4.2","4.569","1.29",NA,NA,"70.81","147290","2.1","35.57","47.89","62.39","81.13","#","73990","99620","129770","168750","#",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2051","Civil Engineers","detailed","630","9","2.113","0.98",NA,NA,"50.24","104500","2.5","30.31","37.520000000000003","48.17","61.35","73.03","63040","78030","100180","127610","151900",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2071","Electrical Engineers","detailed","460","7.7","1.5669999999999999","1.19",NA,NA,"54.92","114230","1.7","32.020000000000003","40.17","50.48","64.78","79.5","66610","83550","104990","134730","165350",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2141","Mechanical Engineers","detailed","960","8","3.222","1.63",NA,NA,"47.46","98710","2.9","29.98","36.119999999999997","46.68","57.88","65.760000000000005","62360","75130","97090","120390","136780",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2199","Engineers, All Other","detailed","560","12.1","1.897","1.76",NA,NA,"49.77","103520","3.6","22.94","37.26","49.08","62.57","75.33","47710","77500","102080","130140","156680",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","detailed","540","11","1.8180000000000001","0.96",NA,NA,"49.3","102530","4.8","23.51","33.049999999999997","47.55","63.2","80.959999999999994","48910","68750","98900","131460","168400",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","47-1011","First-Line Supervisors of Construction Trades and Extraction Workers","detailed","1040","3.8","3.5219999999999998","0.75",NA,NA,"41.06","85410","2.2000000000000002","28.53","30.29","37.79","48.25","61.43","59330","63010","78600","100350","127780",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","47-2211","Sheet Metal Workers","detailed","180","14.1","0.59899999999999998","0.69",NA,NA,"31.57","65670","5.2","17.760000000000002","22.45","28.71","39.520000000000003","50.72","36950","46690","59720","82200","105500",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","47-2231","Solar Photovoltaic Installers","detailed","240","34.6","0.81899999999999995","7.03",NA,NA,"23.22","48300","2.2999999999999998","19.09","22.72","23.37","23.78","24.68","39710","47260","48610","49460","51330",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","49-9099","Installation, Maintenance, and Repair Workers, All Other","detailed","530","8.8000000000000007","1.7809999999999999","1.53",NA,NA,"21.46","44640","2.1","14.67","16.91","18.63","23.49","31.21","30510","35170","38760","48860","64920",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","51-4041","Machinists","detailed","830","4.8","2.8050000000000002","1.19",NA,NA,"23.53","48950","1.1000000000000001","16.350000000000001","18.3","23.06","28.57","30.76","34000","38050","47970","59420","63970",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","51-8012","Power Distributors and Dispatchers","detailed","30","39","0.107","1.56",NA,NA,"47.68","99180","1.5","35.57","37.479999999999997","47.82","49.34","60.4","73990","77950","99470","102620","125630",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","51-8013","Power Plant Operators","detailed","30","27.8","0.106","0.51",NA,NA,"48.62","101120","7.3","30.96","30.96","61.37","63.15","63.15","64410","64410","127660","131340","131340",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","51-8099","Plant and System Operators, All Other","detailed","40","26.8","0.125","1.1499999999999999",NA,NA,"42.11","87580","5.8","28.22","36.86","46.35","47.38","60.24","58690","76670","96420","98560","125300",NA,NA,"green job"
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-3051","Industrial Production Managers","detailed","210","3.7","1.887","1.38",NA,NA,"66.58","138480","1.5","36.32","47.41","63.33","91.43","91.43","75550","98600","131720","190180","190180",NA,NA,"green job"
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-3071","Transportation, Storage, and Distribution Managers","detailed","120","6.1","1.046","1.02",NA,NA,"50.55","105140","2","28.85","31.5","47.14","63.83","82.24","60010","65520","98050","132760","171060",NA,NA,"green job"
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-9041","Architectural and Engineering Managers","detailed","230","8","2.0470000000000002","1.54",NA,NA,"79.53","165420","1.9","48.32","60.82","77.77","92.21","#","100500","126500","161770","191790","#",NA,NA,"green job"
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-9199","Managers, All Other","detailed","320","5.4","2.879","0.81",NA,NA,"64.63","134430","2.6","31.7","43.96","60.31","80.05","#","65940","91430","125450","166490","#",NA,NA,"green job"
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2051","Civil Engineers","detailed","530","4.5","4.7130000000000001","2.1800000000000002",NA,NA,"50.93","105930","1.3","31.59","37.76","47.98","61.07","77.81","65710","78540","99800","127030","161850",NA,NA,"green job"
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2071","Electrical Engineers","detailed","120","18.8","1.107","0.84",NA,NA,"49.78","103540","5.2","30.25","38.08","48.26","60.08","74.400000000000006","62930","79200","100380","124960","154750",NA,NA,"green job"
