"AREA","AREA_TITLE","AREA_TYPE","PRIM_STATE","NAICS","NAICS_TITLE","I_GROUP","OWN_CODE","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","PCT_TOTAL","PCT_RPT","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY","label"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-3051","Industrial Production Managers","detailed","600","2.1","1.8979999999999999","1.29",NA,NA,"63.8","132700","1.6","36.54","45.47","59.61","78.819999999999993","97.37","76000","94580","123990","163950","202520",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-3071","Transportation, Storage, and Distribution Managers","detailed","390","2.8","1.236","0.94",NA,NA,"55.11","114640","1.5","30.48","36.08","47.74","64.760000000000005","90.21","63400","75050","99290","134690","187630",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-9041","Architectural and Engineering Managers","detailed","560","3.6","1.7749999999999999","1.3",NA,NA,"84.96","176730","2","55.76","65.959999999999994","82.96","98.93","#","115970","137190","172560","205760","#",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","11-9199","Managers, All Other","detailed","1240","2.5","3.9279999999999999","1.01",NA,NA,"78","162240","1.2","37.82","55.14","74.84","94.87","#","78660","114680","155670","197340","#",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2051","Civil Engineers","detailed","660","14","2.1059999999999999","0.98",NA,NA,"51.38","106870","4.5999999999999996","34.19","39.090000000000003","47.43","59.97","76.87","71110","81310","98660","124750","159890",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2071","Electrical Engineers","detailed","450","5.7","1.427","1.17",NA,NA,"61.15","127200","1.4","38.659999999999997","46.48","60.1","74.77","83.08","80410","96670","125010","155530","172810",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2141","Mechanical Engineers","detailed","880","2.6","2.8010000000000002","1.51",NA,NA,"53.09","110430","1.7","31.79","38.46","49.58","61.07","74.73","66120","80000","103120","127030","155440",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","17-2199","Engineers, All Other","detailed","580","15.8","1.849","1.86",NA,NA,"58.21","121080","3.6","32.299999999999997","43.58","58.48","70.88","82.7","67170","90650","121640","147430","172010",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","detailed","510","5.8","1.605","0.78",NA,NA,"51.4","106900","3.5","19.07","33","48.82","63.47","79.89","39660","68640","101550","132020","166170",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","47-1011","First-Line Supervisors of Construction Trades and Extraction Workers","detailed","1110","6","3.5270000000000001","0.69",NA,NA,"42.42","88240","1","27.47","31.95","38.729999999999997","49.67","61.25","57130","66450","80560","103320","127410",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","47-2211","Sheet Metal Workers","detailed","140","15.5","0.42899999999999999","0.56000000000000005",NA,NA,"36.58","76090","7.7","17.95","22.13","33.25","49.23","57.44","37330","46020","69150","102390","119480",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","49-9099","Installation, Maintenance, and Repair Workers, All Other","detailed","530","9.1","1.6859999999999999","1.46",NA,NA,"25.68","53420","2.2999999999999998","17.04","17.96","22.48","30","36.39","35440","37350","46770","62400","75700",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","51-4041","Machinists","detailed","560","11.7","1.7869999999999999","0.93",NA,NA,"27.02","56200","1.2","18.11","21.5","26.11","30.55","36.72","37670","44720","54310","63550","76390",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","51-8013","Power Plant Operators","detailed","30","19.2","9.8000000000000004E-2","0.47",NA,NA,"41.66","86650","8.3000000000000007","23.28","29.32","43.15","55.1","58.43","48420","60990","89750","114610","121540",NA,NA,"green job"
"37100","Oxnard-Thousand Oaks-Ventura, CA","4","CA","000000","Cross-industry","cross-industry","1235","51-8099","Plant and System Operators, All Other","detailed","40","16.7","0.113","1.1100000000000001",NA,NA,"38.630000000000003","80340","5.3","24.23","30.02","36.19","47.66","56.15","50410","62430","75270","99130","116790",NA,NA,"green job"
