"zipcode","year","occupation","estimate","margin_of_error","county"
"91361",2015,"material_moving_occupations",15078,5116,"Ventura"
"91362",2015,"civilian_employed_population_16_years_and_over_with_earnings",56551,7293,"Ventura"
"91362",2015,"management_occupations",101319,6928,"Ventura"
"91362",2015,"business_and_financial_operations_occupations",71765,16893,"Ventura"
"91362",2015,"computer_and_mathematical_occupations",101719,17681,"Ventura"
"91362",2015,"architecture_and_engineering_occupations",100882,16826,"Ventura"
"91362",2015,"life_physical_and_social_science_occupations",104563,20013,"Ventura"
"91362",2015,"community_and_social_services_occupations",43942,4170,"Ventura"
"91362",2015,"legal_occupations",150020,86591,"Ventura"
"91362",2015,"education_training_and_library_occupations",60924,11970,"Ventura"
"91362",2015,"arts_design_entertainment_sports_and_media_occupations",54035,27080,"Ventura"
"91362",2015,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",108403,24225,"Ventura"
"91362",2015,"health_technologists_and_technicians",59767,9954,"Ventura"
"91362",2015,"healthcare_support_occupations",17214,5362,"Ventura"
"91362",2015,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",73958,185209,"Ventura"
"91362",2015,"law_enforcement_workers_including_supervisors",75703,25948,"Ventura"
"91362",2015,"food_preparation_and_serving_related_occupations",15378,2646,"Ventura"
"91362",2015,"building_and_grounds_cleaning_and_maintenance_occupations",25702,7688,"Ventura"
"91362",2015,"personal_care_and_service_occupations",17133,7035,"Ventura"
"91362",2015,"sales_and_related_occupations",41492,5187,"Ventura"
"91362",2015,"office_and_administrative_support_occupations",32047,3971,"Ventura"
"91362",2015,"farming_fishing_and_forestry_occupations",NA,NA,"Ventura"
"91362",2015,"construction_and_extraction_occupations",63158,21752,"Ventura"
"91362",2015,"installation_maintenance_and_repair_occupations",52143,45905,"Ventura"
"91362",2015,"production_occupations",42238,16490,"Ventura"
"91362",2015,"transportation_occupations",48594,36957,"Ventura"
"91362",2015,"material_moving_occupations",14256,4684,"Ventura"
"91377",2015,"civilian_employed_population_16_years_and_over_with_earnings",69951,7683,"Ventura"
"91377",2015,"management_occupations",109875,35565,"Ventura"
"91377",2015,"business_and_financial_operations_occupations",92468,22998,"Ventura"
"91377",2015,"computer_and_mathematical_occupations",122019,23379,"Ventura"
"91377",2015,"architecture_and_engineering_occupations",102875,24250,"Ventura"
"91377",2015,"life_physical_and_social_science_occupations",96750,47201,"Ventura"
"91377",2015,"community_and_social_services_occupations",47750,37470,"Ventura"
"91377",2015,"legal_occupations",167895,214896,"Ventura"
"91377",2015,"education_training_and_library_occupations",38500,13564,"Ventura"
"91377",2015,"arts_design_entertainment_sports_and_media_occupations",89519,9953,"Ventura"
