"zipcode","year","occupation","estimate","margin_of_error","county"
"93426",2016,"healthcare_support_occupations",50769,22200,"San Luis Obispo"
"93426",2016,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",125114,7564,"San Luis Obispo"
"93426",2016,"law_enforcement_workers_including_supervisors",66250,1441,"San Luis Obispo"
"93426",2016,"food_preparation_and_serving_related_occupations",NA,NA,"San Luis Obispo"
"93426",2016,"building_and_grounds_cleaning_and_maintenance_occupations",NA,NA,"San Luis Obispo"
"93426",2016,"personal_care_and_service_occupations",10987,759,"San Luis Obispo"
"93426",2016,"sales_and_related_occupations",66250,63520,"San Luis Obispo"
"93426",2016,"office_and_administrative_support_occupations",15938,3816,"San Luis Obispo"
"93426",2016,"farming_fishing_and_forestry_occupations",37031,73601,"San Luis Obispo"
"93426",2016,"construction_and_extraction_occupations",36000,37902,"San Luis Obispo"
"93426",2016,"installation_maintenance_and_repair_occupations",53750,18411,"San Luis Obispo"
"93426",2016,"production_occupations",55078,25421,"San Luis Obispo"
"93426",2016,"transportation_occupations",NA,NA,"San Luis Obispo"
"93426",2016,"material_moving_occupations",NA,NA,"San Luis Obispo"
"93427",2016,"civilian_employed_population_16_years_and_over_with_earnings",40018,8668,"Santa Barbara"
"93427",2016,"management_occupations",49688,63446,"Santa Barbara"
"93427",2016,"business_and_financial_operations_occupations",47773,13021,"Santa Barbara"
"93427",2016,"computer_and_mathematical_occupations",49236,172431,"Santa Barbara"
"93427",2016,"architecture_and_engineering_occupations",104638,2751,"Santa Barbara"
"93427",2016,"life_physical_and_social_science_occupations",NA,NA,"Santa Barbara"
"93427",2016,"community_and_social_services_occupations",20391,19922,"Santa Barbara"
"93427",2016,"legal_occupations",NA,NA,"Santa Barbara"
"93427",2016,"education_training_and_library_occupations",40313,31602,"Santa Barbara"
"93427",2016,"arts_design_entertainment_sports_and_media_occupations",NA,NA,"Santa Barbara"
"93427",2016,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",77163,12898,"Santa Barbara"
"93427",2016,"health_technologists_and_technicians",NA,NA,"Santa Barbara"
"93427",2016,"healthcare_support_occupations",NA,NA,"Santa Barbara"
"93427",2016,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",NA,NA,"Santa Barbara"
"93427",2016,"law_enforcement_workers_including_supervisors",NA,NA,"Santa Barbara"
"93427",2016,"food_preparation_and_serving_related_occupations",18674,3387,"Santa Barbara"
"93427",2016,"building_and_grounds_cleaning_and_maintenance_occupations",9713,31486,"Santa Barbara"
"93427",2016,"personal_care_and_service_occupations",7344,9126,"Santa Barbara"
"93427",2016,"sales_and_related_occupations",23163,12196,"Santa Barbara"
"93427",2016,"office_and_administrative_support_occupations",43265,13420,"Santa Barbara"
"93427",2016,"farming_fishing_and_forestry_occupations",NA,NA,"Santa Barbara"
"93427",2016,"construction_and_extraction_occupations",66827,32017,"Santa Barbara"
"93427",2016,"installation_maintenance_and_repair_occupations",NA,NA,"Santa Barbara"
"93427",2016,"production_occupations",53164,6187,"Santa Barbara"
"93427",2016,"transportation_occupations",35332,39982,"Santa Barbara"
"93427",2016,"material_moving_occupations",NA,NA,"Santa Barbara"
"93428",2016,"civilian_employed_population_16_years_and_over_with_earnings",29191,2272,"San Luis Obispo"
"93428",2016,"management_occupations",46319,23187,"San Luis Obispo"
"93428",2016,"business_and_financial_operations_occupations",50950,16770,"San Luis Obispo"
"93428",2016,"computer_and_mathematical_occupations",10357,40459,"San Luis Obispo"
"93428",2016,"architecture_and_engineering_occupations",150486,178819,"San Luis Obispo"
"93428",2016,"life_physical_and_social_science_occupations",51667,65868,"San Luis Obispo"
"93428",2016,"community_and_social_services_occupations",65208,116276,"San Luis Obispo"
"93428",2016,"legal_occupations",93611,13813,"San Luis Obispo"
"93428",2016,"education_training_and_library_occupations",58125,20201,"San Luis Obispo"
"93428",2016,"arts_design_entertainment_sports_and_media_occupations",21667,47478,"San Luis Obispo"
"93428",2016,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",75278,36224,"San Luis Obispo"
"93428",2016,"health_technologists_and_technicians",NA,NA,"San Luis Obispo"
"93428",2016,"healthcare_support_occupations",43542,59948,"San Luis Obispo"
"93428",2016,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",NA,NA,"San Luis Obispo"
"93428",2016,"law_enforcement_workers_including_supervisors",NA,NA,"San Luis Obispo"
"93428",2016,"food_preparation_and_serving_related_occupations",27549,7623,"San Luis Obispo"
"93428",2016,"building_and_grounds_cleaning_and_maintenance_occupations",14483,3287,"San Luis Obispo"
"93428",2016,"personal_care_and_service_occupations",16806,23663,"San Luis Obispo"
"93428",2016,"sales_and_related_occupations",25972,7214,"San Luis Obispo"
"93428",2016,"office_and_administrative_support_occupations",30167,10645,"San Luis Obispo"
"93428",2016,"farming_fishing_and_forestry_occupations",NA,NA,"San Luis Obispo"
"93428",2016,"construction_and_extraction_occupations",43199,26994,"San Luis Obispo"
"93428",2016,"installation_maintenance_and_repair_occupations",32031,43512,"San Luis Obispo"
"93428",2016,"production_occupations",18000,17064,"San Luis Obispo"
"93428",2016,"transportation_occupations",4191,8329,"San Luis Obispo"
"93428",2016,"material_moving_occupations",12250,18151,"San Luis Obispo"
"93429",2016,"civilian_employed_population_16_years_and_over_with_earnings",29625,6624,"Santa Barbara"
"93429",2016,"management_occupations",NA,NA,"Santa Barbara"
"93429",2016,"business_and_financial_operations_occupations",NA,NA,"Santa Barbara"
"93429",2016,"computer_and_mathematical_occupations",NA,NA,"Santa Barbara"
"93429",2016,"architecture_and_engineering_occupations",NA,NA,"Santa Barbara"
"93429",2016,"life_physical_and_social_science_occupations",NA,NA,"Santa Barbara"
"93429",2016,"community_and_social_services_occupations",NA,NA,"Santa Barbara"
"93429",2016,"legal_occupations",NA,NA,"Santa Barbara"
"93429",2016,"education_training_and_library_occupations",NA,NA,"Santa Barbara"
"93429",2016,"arts_design_entertainment_sports_and_media_occupations",NA,NA,"Santa Barbara"
"93429",2016,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",NA,NA,"Santa Barbara"
"93429",2016,"health_technologists_and_technicians",NA,NA,"Santa Barbara"
"93429",2016,"healthcare_support_occupations",NA,NA,"Santa Barbara"
"93429",2016,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",NA,NA,"Santa Barbara"
"93429",2016,"law_enforcement_workers_including_supervisors",NA,NA,"Santa Barbara"
"93429",2016,"food_preparation_and_serving_related_occupations",NA,NA,"Santa Barbara"
"93429",2016,"building_and_grounds_cleaning_and_maintenance_occupations",NA,NA,"Santa Barbara"
"93429",2016,"personal_care_and_service_occupations",NA,NA,"Santa Barbara"
"93429",2016,"sales_and_related_occupations",NA,NA,"Santa Barbara"
"93429",2016,"office_and_administrative_support_occupations",NA,NA,"Santa Barbara"
"93429",2016,"farming_fishing_and_forestry_occupations",NA,NA,"Santa Barbara"
"93429",2016,"construction_and_extraction_occupations",NA,NA,"Santa Barbara"
"93429",2016,"installation_maintenance_and_repair_occupations",NA,NA,"Santa Barbara"
"93429",2016,"production_occupations",NA,NA,"Santa Barbara"
"93429",2016,"transportation_occupations",NA,NA,"Santa Barbara"
"93429",2016,"material_moving_occupations",NA,NA,"Santa Barbara"
"93430",2016,"civilian_employed_population_16_years_and_over_with_earnings",40061,7131,"San Luis Obispo"
"93430",2016,"management_occupations",47634,14113,"San Luis Obispo"
"93430",2016,"business_and_financial_operations_occupations",62083,112111,"San Luis Obispo"
"93430",2016,"computer_and_mathematical_occupations",78571,74339,"San Luis Obispo"
"93430",2016,"architecture_and_engineering_occupations",NA,NA,"San Luis Obispo"
"93430",2016,"life_physical_and_social_science_occupations",66389,32053,"San Luis Obispo"
"93430",2016,"community_and_social_services_occupations",50875,24653,"San Luis Obispo"
"93430",2016,"legal_occupations",NA,NA,"San Luis Obispo"
"93430",2016,"education_training_and_library_occupations",62125,28995,"San Luis Obispo"
"93430",2016,"arts_design_entertainment_sports_and_media_occupations",58750,117311,"San Luis Obispo"
"93430",2016,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",61048,12068,"San Luis Obispo"
"93430",2016,"health_technologists_and_technicians",NA,NA,"San Luis Obispo"
"93430",2016,"healthcare_support_occupations",NA,NA,"San Luis Obispo"
"93430",2016,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",41429,955,"San Luis Obispo"
"93430",2016,"law_enforcement_workers_including_supervisors",NA,NA,"San Luis Obispo"
"93430",2016,"food_preparation_and_serving_related_occupations",7955,8360,"San Luis Obispo"
"93430",2016,"building_and_grounds_cleaning_and_maintenance_occupations",35625,42223,"San Luis Obispo"
"93430",2016,"personal_care_and_service_occupations",11585,4373,"San Luis Obispo"
"93430",2016,"sales_and_related_occupations",16719,11648,"San Luis Obispo"
"93430",2016,"office_and_administrative_support_occupations",27361,24740,"San Luis Obispo"
"93430",2016,"farming_fishing_and_forestry_occupations",35568,39459,"San Luis Obispo"
"93430",2016,"construction_and_extraction_occupations",40465,23889,"San Luis Obispo"
"93430",2016,"installation_maintenance_and_repair_occupations",NA,NA,"San Luis Obispo"
"93430",2016,"production_occupations",61750,51764,"San Luis Obispo"
"93430",2016,"transportation_occupations",NA,NA,"San Luis Obispo"
"93430",2016,"material_moving_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"civilian_employed_population_16_years_and_over_with_earnings",27660,18852,"San Luis Obispo"
"93432",2016,"management_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"business_and_financial_operations_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"computer_and_mathematical_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"architecture_and_engineering_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"life_physical_and_social_science_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"community_and_social_services_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"legal_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"education_training_and_library_occupations",9506,92229,"San Luis Obispo"
"93432",2016,"arts_design_entertainment_sports_and_media_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",72019,70495,"San Luis Obispo"
"93432",2016,"health_technologists_and_technicians",NA,NA,"San Luis Obispo"
"93432",2016,"healthcare_support_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",NA,NA,"San Luis Obispo"
"93432",2016,"law_enforcement_workers_including_supervisors",NA,NA,"San Luis Obispo"
"93432",2016,"food_preparation_and_serving_related_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"building_and_grounds_cleaning_and_maintenance_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"personal_care_and_service_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"sales_and_related_occupations",45724,57340,"San Luis Obispo"
"93432",2016,"office_and_administrative_support_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"farming_fishing_and_forestry_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"construction_and_extraction_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"installation_maintenance_and_repair_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"production_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"transportation_occupations",NA,NA,"San Luis Obispo"
"93432",2016,"material_moving_occupations",NA,NA,"San Luis Obispo"
"93433",2016,"civilian_employed_population_16_years_and_over_with_earnings",33588,2941,"San Luis Obispo"
"93433",2016,"management_occupations",50335,17893,"San Luis Obispo"
"93433",2016,"business_and_financial_operations_occupations",36094,16077,"San Luis Obispo"
"93433",2016,"computer_and_mathematical_occupations",33897,21561,"San Luis Obispo"
"93433",2016,"architecture_and_engineering_occupations",74737,17117,"San Luis Obispo"
"93433",2016,"life_physical_and_social_science_occupations",NA,NA,"San Luis Obispo"
"93433",2016,"community_and_social_services_occupations",14375,18560,"San Luis Obispo"
"93433",2016,"legal_occupations",NA,NA,"San Luis Obispo"
"93433",2016,"education_training_and_library_occupations",44446,15989,"San Luis Obispo"
"93433",2016,"arts_design_entertainment_sports_and_media_occupations",28813,123495,"San Luis Obispo"
"93433",2016,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",100053,29727,"San Luis Obispo"
"93433",2016,"health_technologists_and_technicians",40515,14611,"San Luis Obispo"
"93433",2016,"healthcare_support_occupations",31125,14036,"San Luis Obispo"
"93433",2016,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",31167,66925,"San Luis Obispo"
"93433",2016,"law_enforcement_workers_including_supervisors",NA,NA,"San Luis Obispo"
"93433",2016,"food_preparation_and_serving_related_occupations",17338,11807,"San Luis Obispo"
"93433",2016,"building_and_grounds_cleaning_and_maintenance_occupations",19681,7715,"San Luis Obispo"
"93433",2016,"personal_care_and_service_occupations",27875,15685,"San Luis Obispo"
"93433",2016,"sales_and_related_occupations",45096,17193,"San Luis Obispo"
"93433",2016,"office_and_administrative_support_occupations",32014,6004,"San Luis Obispo"
"93433",2016,"farming_fishing_and_forestry_occupations",NA,NA,"San Luis Obispo"
"93433",2016,"construction_and_extraction_occupations",40960,15071,"San Luis Obispo"
"93433",2016,"installation_maintenance_and_repair_occupations",28750,44284,"San Luis Obispo"
"93433",2016,"production_occupations",30566,3075,"San Luis Obispo"
"93433",2016,"transportation_occupations",62108,20973,"San Luis Obispo"
"93433",2016,"material_moving_occupations",26150,30979,"San Luis Obispo"
"93434",2016,"civilian_employed_population_16_years_and_over_with_earnings",23786,2475,"Santa Barbara"
"93434",2016,"management_occupations",30625,5243,"Santa Barbara"
"93434",2016,"business_and_financial_operations_occupations",21184,7359,"Santa Barbara"
"93434",2016,"computer_and_mathematical_occupations",NA,NA,"Santa Barbara"
"93434",2016,"architecture_and_engineering_occupations",NA,NA,"Santa Barbara"
"93434",2016,"life_physical_and_social_science_occupations",NA,NA,"Santa Barbara"
"93434",2016,"community_and_social_services_occupations",NA,NA,"Santa Barbara"
"93434",2016,"legal_occupations",NA,NA,"Santa Barbara"
"93434",2016,"education_training_and_library_occupations",24821,78153,"Santa Barbara"
"93434",2016,"arts_design_entertainment_sports_and_media_occupations",NA,NA,"Santa Barbara"
"93434",2016,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",NA,NA,"Santa Barbara"
"93434",2016,"health_technologists_and_technicians",NA,NA,"Santa Barbara"
"93434",2016,"healthcare_support_occupations",30625,19308,"Santa Barbara"
"93434",2016,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",27216,48729,"Santa Barbara"
"93434",2016,"law_enforcement_workers_including_supervisors",NA,NA,"Santa Barbara"
"93434",2016,"food_preparation_and_serving_related_occupations",15197,5454,"Santa Barbara"
"93434",2016,"building_and_grounds_cleaning_and_maintenance_occupations",20000,14305,"Santa Barbara"
"93434",2016,"personal_care_and_service_occupations",15988,658,"Santa Barbara"
"93434",2016,"sales_and_related_occupations",18295,8889,"Santa Barbara"
"93434",2016,"office_and_administrative_support_occupations",29583,9889,"Santa Barbara"
"93434",2016,"farming_fishing_and_forestry_occupations",20237,9863,"Santa Barbara"
"93434",2016,"construction_and_extraction_occupations",30750,15646,"Santa Barbara"
"93434",2016,"installation_maintenance_and_repair_occupations",34583,3401,"Santa Barbara"
"93434",2016,"production_occupations",29327,6081,"Santa Barbara"
"93434",2016,"transportation_occupations",48700,20858,"Santa Barbara"
"93434",2016,"material_moving_occupations",22813,2517,"Santa Barbara"
"93436",2016,"civilian_employed_population_16_years_and_over_with_earnings",30754,1161,"Santa Barbara"
"93436",2016,"management_occupations",42531,8193,"Santa Barbara"
"93436",2016,"business_and_financial_operations_occupations",63802,4640,"Santa Barbara"
"93436",2016,"computer_and_mathematical_occupations",71305,4042,"Santa Barbara"
"93436",2016,"architecture_and_engineering_occupations",81935,7831,"Santa Barbara"
"93436",2016,"life_physical_and_social_science_occupations",46750,8517,"Santa Barbara"
"93436",2016,"community_and_social_services_occupations",38523,5151,"Santa Barbara"
"93436",2016,"legal_occupations",81750,43484,"Santa Barbara"
"93436",2016,"education_training_and_library_occupations",41654,7687,"Santa Barbara"
"93436",2016,"arts_design_entertainment_sports_and_media_occupations",19643,65903,"Santa Barbara"
"93436",2016,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",65833,20588,"Santa Barbara"
"93436",2016,"health_technologists_and_technicians",47566,10217,"Santa Barbara"
"93436",2016,"healthcare_support_occupations",30240,6488,"Santa Barbara"
"93436",2016,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",52271,34595,"Santa Barbara"
"93436",2016,"law_enforcement_workers_including_supervisors",68397,23931,"Santa Barbara"
"93436",2016,"food_preparation_and_serving_related_occupations",14567,4109,"Santa Barbara"
"93436",2016,"building_and_grounds_cleaning_and_maintenance_occupations",23021,2298,"Santa Barbara"
"93436",2016,"personal_care_and_service_occupations",15000,5373,"Santa Barbara"
"93436",2016,"sales_and_related_occupations",22893,5579,"Santa Barbara"
"93436",2016,"office_and_administrative_support_occupations",30368,5136,"Santa Barbara"
"93436",2016,"farming_fishing_and_forestry_occupations",21322,5432,"Santa Barbara"
"93436",2016,"construction_and_extraction_occupations",42007,10074,"Santa Barbara"
"93436",2016,"installation_maintenance_and_repair_occupations",46136,13546,"Santa Barbara"
"93436",2016,"production_occupations",33141,4036,"Santa Barbara"
"93436",2016,"transportation_occupations",28144,9905,"Santa Barbara"
"93436",2016,"material_moving_occupations",25230,22147,"Santa Barbara"
"93437",2016,"civilian_employed_population_16_years_and_over_with_earnings",36766,11438,"Santa Barbara"
"93437",2016,"management_occupations",60565,39118,"Santa Barbara"
"93437",2016,"business_and_financial_operations_occupations",NA,NA,"Santa Barbara"
"93437",2016,"computer_and_mathematical_occupations",22137,32606,"Santa Barbara"
"93437",2016,"architecture_and_engineering_occupations",51776,12959,"Santa Barbara"
"93437",2016,"life_physical_and_social_science_occupations",NA,NA,"Santa Barbara"
"93437",2016,"community_and_social_services_occupations",NA,NA,"Santa Barbara"
"93437",2016,"legal_occupations",NA,NA,"Santa Barbara"
"93437",2016,"education_training_and_library_occupations",51534,9006,"Santa Barbara"
"93437",2016,"arts_design_entertainment_sports_and_media_occupations",NA,NA,"Santa Barbara"
"93437",2016,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",44250,67332,"Santa Barbara"
"93437",2016,"health_technologists_and_technicians",NA,NA,"Santa Barbara"
"93437",2016,"healthcare_support_occupations",NA,NA,"Santa Barbara"
"93437",2016,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",NA,NA,"Santa Barbara"
"93437",2016,"law_enforcement_workers_including_supervisors",48750,55492,"Santa Barbara"
"93437",2016,"food_preparation_and_serving_related_occupations",18942,13016,"Santa Barbara"
"93437",2016,"building_and_grounds_cleaning_and_maintenance_occupations",NA,NA,"Santa Barbara"
"93437",2016,"personal_care_and_service_occupations",NA,NA,"Santa Barbara"
"93437",2016,"sales_and_related_occupations",6827,27083,"Santa Barbara"
"93437",2016,"office_and_administrative_support_occupations",36833,31899,"Santa Barbara"
"93437",2016,"farming_fishing_and_forestry_occupations",NA,NA,"Santa Barbara"
"93437",2016,"construction_and_extraction_occupations",NA,NA,"Santa Barbara"
"93437",2016,"installation_maintenance_and_repair_occupations",45250,61340,"Santa Barbara"
"93437",2016,"production_occupations",NA,NA,"Santa Barbara"
"93437",2016,"transportation_occupations",NA,NA,"Santa Barbara"
"93437",2016,"material_moving_occupations",NA,NA,"Santa Barbara"
"93440",2016,"civilian_employed_population_16_years_and_over_with_earnings",22333,8144,"Santa Barbara"
"93440",2016,"management_occupations",19821,54767,"Santa Barbara"
"93440",2016,"business_and_financial_operations_occupations",NA,NA,"Santa Barbara"
"93440",2016,"computer_and_mathematical_occupations",NA,NA,"Santa Barbara"
"93440",2016,"architecture_and_engineering_occupations",NA,NA,"Santa Barbara"
"93440",2016,"life_physical_and_social_science_occupations",NA,NA,"Santa Barbara"
"93440",2016,"community_and_social_services_occupations",NA,NA,"Santa Barbara"
"93440",2016,"legal_occupations",NA,NA,"Santa Barbara"
"93440",2016,"education_training_and_library_occupations",25972,21507,"Santa Barbara"
"93440",2016,"arts_design_entertainment_sports_and_media_occupations",NA,NA,"Santa Barbara"
"93440",2016,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",NA,NA,"Santa Barbara"
"93440",2016,"health_technologists_and_technicians",NA,NA,"Santa Barbara"
"93440",2016,"healthcare_support_occupations",NA,NA,"Santa Barbara"
"93440",2016,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",NA,NA,"Santa Barbara"
"93440",2016,"law_enforcement_workers_including_supervisors",NA,NA,"Santa Barbara"
"93440",2016,"food_preparation_and_serving_related_occupations",29167,342981,"Santa Barbara"
"93440",2016,"building_and_grounds_cleaning_and_maintenance_occupations",4540,3753,"Santa Barbara"
"93440",2016,"personal_care_and_service_occupations",NA,NA,"Santa Barbara"
"93440",2016,"sales_and_related_occupations",4167,5724,"Santa Barbara"
"93440",2016,"office_and_administrative_support_occupations",NA,NA,"Santa Barbara"
"93440",2016,"farming_fishing_and_forestry_occupations",NA,NA,"Santa Barbara"
"93440",2016,"construction_and_extraction_occupations",52250,3660,"Santa Barbara"
"93440",2016,"installation_maintenance_and_repair_occupations",NA,NA,"Santa Barbara"
"93440",2016,"production_occupations",140625,59196,"Santa Barbara"
"93440",2016,"transportation_occupations",NA,NA,"Santa Barbara"
"93440",2016,"material_moving_occupations",NA,NA,"Santa Barbara"
"93441",2016,"civilian_employed_population_16_years_and_over_with_earnings",49188,5620,"Santa Barbara"
"93441",2016,"management_occupations",105417,48009,"Santa Barbara"
"93441",2016,"business_and_financial_operations_occupations",44583,83232,"Santa Barbara"
"93441",2016,"computer_and_mathematical_occupations",NA,NA,"Santa Barbara"
"93441",2016,"architecture_and_engineering_occupations",72500,58719,"Santa Barbara"
"93441",2016,"life_physical_and_social_science_occupations",NA,NA,"Santa Barbara"
"93441",2016,"community_and_social_services_occupations",NA,NA,"Santa Barbara"
"93441",2016,"legal_occupations",236250,215445,"Santa Barbara"
"93441",2016,"education_training_and_library_occupations",30208,9106,"Santa Barbara"
"93441",2016,"arts_design_entertainment_sports_and_media_occupations",NA,NA,"Santa Barbara"
"93441",2016,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",122031,43007,"Santa Barbara"
"93441",2016,"health_technologists_and_technicians",NA,NA,"Santa Barbara"
"93441",2016,"healthcare_support_occupations",NA,NA,"Santa Barbara"
"93441",2016,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",NA,NA,"Santa Barbara"
"93441",2016,"law_enforcement_workers_including_supervisors",NA,NA,"Santa Barbara"
"93441",2016,"food_preparation_and_serving_related_occupations",NA,NA,"Santa Barbara"
"93441",2016,"building_and_grounds_cleaning_and_maintenance_occupations",NA,NA,"Santa Barbara"
"93441",2016,"personal_care_and_service_occupations",NA,NA,"Santa Barbara"
"93441",2016,"sales_and_related_occupations",26806,25150,"Santa Barbara"
"93441",2016,"office_and_administrative_support_occupations",48125,21186,"Santa Barbara"
"93441",2016,"farming_fishing_and_forestry_occupations",26346,60002,"Santa Barbara"
"93441",2016,"construction_and_extraction_occupations",27361,47027,"Santa Barbara"
"93441",2016,"installation_maintenance_and_repair_occupations",NA,NA,"Santa Barbara"
"93441",2016,"production_occupations",NA,NA,"Santa Barbara"
"93441",2016,"transportation_occupations",NA,NA,"Santa Barbara"
"93441",2016,"material_moving_occupations",NA,NA,"Santa Barbara"
"93442",2016,"civilian_employed_population_16_years_and_over_with_earnings",32869,6038,"San Luis Obispo"
"93442",2016,"management_occupations",65991,17591,"San Luis Obispo"
"93442",2016,"business_and_financial_operations_occupations",32917,33331,"San Luis Obispo"
"93442",2016,"computer_and_mathematical_occupations",73854,25748,"San Luis Obispo"
"93442",2016,"architecture_and_engineering_occupations",71415,25506,"San Luis Obispo"
"93442",2016,"life_physical_and_social_science_occupations",89375,171851,"San Luis Obispo"
"93442",2016,"community_and_social_services_occupations",26295,30305,"San Luis Obispo"
"93442",2016,"legal_occupations",11563,131868,"San Luis Obispo"
"93442",2016,"education_training_and_library_occupations",58779,10656,"San Luis Obispo"
"93442",2016,"arts_design_entertainment_sports_and_media_occupations",38828,40253,"San Luis Obispo"
"93442",2016,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",82337,9309,"San Luis Obispo"
"93442",2016,"health_technologists_and_technicians",46711,39021,"San Luis Obispo"
"93442",2016,"healthcare_support_occupations",27321,17170,"San Luis Obispo"
"93442",2016,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",NA,NA,"San Luis Obispo"
"93442",2016,"law_enforcement_workers_including_supervisors",86667,31961,"San Luis Obispo"
"93442",2016,"food_preparation_and_serving_related_occupations",24460,3365,"San Luis Obispo"
"93442",2016,"building_and_grounds_cleaning_and_maintenance_occupations",20133,10278,"San Luis Obispo"
"93442",2016,"personal_care_and_service_occupations",24063,12786,"San Luis Obispo"
"93442",2016,"sales_and_related_occupations",26573,15314,"San Luis Obispo"
"93442",2016,"office_and_administrative_support_occupations",30395,14381,"San Luis Obispo"
"93442",2016,"farming_fishing_and_forestry_occupations",26755,79294,"San Luis Obispo"
"93442",2016,"construction_and_extraction_occupations",26536,4796,"San Luis Obispo"
"93442",2016,"installation_maintenance_and_repair_occupations",38568,1115,"San Luis Obispo"
"93442",2016,"production_occupations",26875,24984,"San Luis Obispo"
"93442",2016,"transportation_occupations",26875,8983,"San Luis Obispo"
"93442",2016,"material_moving_occupations",4891,20120,"San Luis Obispo"
"93444",2016,"civilian_employed_population_16_years_and_over_with_earnings",32334,3719,"San Luis Obispo"
"93444",2016,"management_occupations",68021,19066,"San Luis Obispo"
"93444",2016,"business_and_financial_operations_occupations",51990,14192,"San Luis Obispo"
"93444",2016,"computer_and_mathematical_occupations",NA,NA,"San Luis Obispo"
"93444",2016,"architecture_and_engineering_occupations",111563,35248,"San Luis Obispo"
"93444",2016,"life_physical_and_social_science_occupations",NA,NA,"San Luis Obispo"
"93444",2016,"community_and_social_services_occupations",56517,14874,"San Luis Obispo"
"93444",2016,"legal_occupations",40972,113323,"San Luis Obispo"
"93444",2016,"education_training_and_library_occupations",47880,20916,"San Luis Obispo"
"93444",2016,"arts_design_entertainment_sports_and_media_occupations",10850,10751,"San Luis Obispo"
"93444",2016,"health_diagnosing_and_treating_practitioners_and_other_technical_occupations",93333,43216,"San Luis Obispo"
"93444",2016,"health_technologists_and_technicians",35938,38710,"San Luis Obispo"
"93444",2016,"healthcare_support_occupations",18866,9807,"San Luis Obispo"
"93444",2016,"fire_fighting_and_prevention_and_other_protective_service_workers_including_supervisors",31513,68757,"San Luis Obispo"
"93444",2016,"law_enforcement_workers_including_supervisors",80969,11793,"San Luis Obispo"
"93444",2016,"food_preparation_and_serving_related_occupations",16193,10299,"San Luis Obispo"
"93444",2016,"building_and_grounds_cleaning_and_maintenance_occupations",18162,7910,"San Luis Obispo"
"93444",2016,"personal_care_and_service_occupations",20085,7716,"San Luis Obispo"
"93444",2016,"sales_and_related_occupations",30690,11735,"San Luis Obispo"
"93444",2016,"office_and_administrative_support_occupations",29036,6851,"San Luis Obispo"
"93444",2016,"farming_fishing_and_forestry_occupations",30307,8803,"San Luis Obispo"
"93444",2016,"construction_and_extraction_occupations",32154,7037,"San Luis Obispo"
"93444",2016,"installation_maintenance_and_repair_occupations",57500,25342,"San Luis Obispo"
"93444",2016,"production_occupations",49432,42730,"San Luis Obispo"
"93444",2016,"transportation_occupations",28659,5354,"San Luis Obispo"
"93444",2016,"material_moving_occupations",19667,5366,"San Luis Obispo"
"93445",2016,"civilian_employed_population_16_years_and_over_with_earnings",24188,5375,"San Luis Obispo"
"93445",2016,"management_occupations",46397,29565,"San Luis Obispo"
