"pwgtp","puma","region","county","socp","occupation","occ_type","year","agep","wagp"
13,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","518010","Power Plant Operators, Distributors, And Dispatchers","Green",2018,31,90000
21,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1191XX","Other Managers","Green",2018,49,1e+05
13,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1721YY","Other Engineers","Fossil Fuel",2018,49,170000
18,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1940YY","Other Life, Physical, And Social Science Technicians","Fossil Fuel",2018,18,600
28,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","472211","Sheet Metal Workers","Green",2018,28,25000
17,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2018,72,89000
48,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1191XX","Other Managers","Green",2018,54,62000
16,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2018,55,0
31,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1191XX","Other Managers","Green",2018,47,80000
17,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","514041","Machinists","Green",2018,38,54000
13,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2018,59,131000
