"pwgtp","puma","region","county","socp","occupation","occ_type","year","agep","wagp"
12,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2018,51,0
12,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2018,66,12600
17,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2018,28,50000
33,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","1721YY","Other Engineers","Fossil Fuel",2018,34,71000
17,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2018,20,4000
38,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","172051","Civil Engineers","Green",2018,38,95000
8,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","172141","Mechanical Engineers","Fossil Fuel",2018,62,104000
17,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1191XX","Other Managers","Green",2018,32,40000
14,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2018,55,180000
19,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2018,74,20000
13,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","172051","Civil Engineers","Green",2018,50,0
7,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2018,76,10000
4,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2018,33,40000
17,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2018,19,1000
11,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","172051","Civil Engineers","Green",2018,56,0
13,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2018,30,38000
12,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","1191XX","Other Managers","Green",2018,41,37000
3,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","1191XX","Other Managers","Green",2018,64,0
42,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2018,64,30000
10,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2018,33,45000
8,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","414010","Sales Representatives, Wholesale And Manufacturing","Green",2018,50,85000
31,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2018,57,38000
8,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","414010","Sales Representatives, Wholesale And Manufacturing","Green",2018,60,25000
18,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","113071","Transportation, Storage, And Distribution Managers","Green",2018,40,70000
31,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2018,35,50000
30,"08301","Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA","Santa Barbara","1721YY","Other Engineers","Fossil Fuel",2018,49,110000
15,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","4990XX","Other Installation, Maintenance, And Repair Workers","Green",2018,66,0
7,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","1191XX","Other Managers","Green",2018,59,125000
13,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","1721YY","Other Engineers","Fossil Fuel",2018,57,46000
74,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","49904X","Industrial And Refractory Machinery Mechanics","Fossil Fuel",2018,59,53000
36,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","1191XX","Other Managers","Green",2018,61,120000
15,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","119041","Architectural And Engineering Managers","Green",2018,54,210000
58,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","414010","Sales Representatives, Wholesale And Manufacturing","Green",2018,61,16600
39,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","1191XX","Other Managers","Green",2018,55,47000
17,"11104","Ventura County (Southwest)--San Buenaventura (Ventura) City PUMA","Ventura","1191XX","Other Managers","Green",2018,59,62000
27,"07902","San Luis Obispo County (East)--Inland Region PUMA","San Luis Obispo","1191XX","Other Managers","Green",2018,51,80000
16,"07901","San Luis Obispo County (West)--Coastal Region PUMA","San Luis Obispo","1191XX","Other Managers","Green",2018,70,504000
14,"11102","Ventura County (Southeast)--Thousand Oaks City PUMA","Ventura","471011","First-Line Supervisors Of Construction Trades And Extraction Workers","Green",2018,43,110000
29,"08303","Santa Barbara County--South Coast Region PUMA","Santa Barbara","172051","Civil Engineers","Green",2018,41,72000
16,"11103","Ventura County (Southwest)--Oxnard & Port Hueneme Cities PUMA","Ventura","514041","Machinists","Green",2018,35,40000
